product_id,gtin_issue
1098,Invalid GTIN
1112_927,Invalid GTIN
1112_928,Invalid GTIN
1282,coupon_gtin
1290,Ambiguous GTIN
1291,Invalid GTIN
1333,Invalid GTIN
1403,Invalid GTIN
1404,Invalid GTIN
1453,Restricted GTIN prefix
1486_2047,Restricted GTIN prefix
1625_1438,Restricted GTIN prefix
1625_1439,Restricted GTIN prefix
1631,Restricted GTIN prefix
1646,Invalid GTIN
1652,Invalid GTIN
1726_1534,Missing GTIN
1736_1551,Missing GTIN
1736_1552,Missing GTIN
1736_1553,Missing GTIN
1754,Ambiguous GTIN
1762,Invalid GTIN
1763,Invalid GTIN
1764,Invalid GTIN
1765,Invalid GTIN
1767,Invalid GTIN
1769,Ambiguous GTIN
1771,Invalid GTIN
1958_2043,Restricted GTIN prefix
1959,Restricted GTIN prefix
1966,Restricted GTIN prefix
1967,Restricted GTIN prefix
1975_2118,Restricted GTIN prefix
1975_2119,Restricted GTIN prefix
2010,Missing GTIN
2071,Invalid GTIN
2072,Ambiguous GTIN
2088_2384,Invalid GTIN
2088_2385,Invalid GTIN
2088_2386,Invalid GTIN
2088_2387,Missing GTIN
2088_2388,Missing GTIN
2088_2389,Missing GTIN
2089_2396,Missing GTIN
2089_2397,Missing GTIN
2089_2398,Missing GTIN
2089_2399,Missing GTIN
2090_2400,Missing GTIN
2090_2401,Missing GTIN
2090_2402,Missing GTIN
2095_2443,Invalid GTIN
2095_2445,Invalid GTIN
2095_2446,Invalid GTIN
2095_2447,Invalid GTIN
2095_2449,Missing GTIN
2095_2450,Missing GTIN
2095_2451,Invalid GTIN
2095_3087,Missing GTIN
2095_3088,Missing GTIN
2098_2476,Missing GTIN
2098_2477,Missing GTIN
2098_2478,Missing GTIN
2100_2512,Missing GTIN
2100_2513,Missing GTIN
2100_2514,Missing GTIN
2102_2519,Missing GTIN
2102_2520,Missing GTIN
2125,Missing GTIN
2126_2648,Missing GTIN
2126_2649,Missing GTIN
2126_2650,Missing GTIN
2127_2652,Missing GTIN
2127_2653,Missing GTIN
2127_2654,Missing GTIN
2180,Missing GTIN
2191,Restricted GTIN prefix
2284,Missing GTIN
2402,Invalid GTIN
2403,Invalid GTIN
2404,Invalid GTIN
2405,Ambiguous GTIN
272,Invalid GTIN
284,Invalid GTIN
285,Invalid GTIN
934,Invalid GTIN
969,Invalid GTIN
971,Invalid GTIN
