search_term,clicks,conversions,cost,campaign_name,next_review_date
candle holder,27,0,8.06,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
ice bucket,22,0,23.57,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
bean bag,21,0,46.90,"AFH | Shopping | Furniture | Villains",2025-12-24
leather bean bag,18,0,22.49,"AFH | Shopping | Furniture | Villains",2025-12-24
champagne bucket,18,0,20.90,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
nkuku mirrors,17,0,25.27,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
kitchen shelf,16,0,7.77,"AFH | Shopping | Furniture | Villains",2025-12-24
bean bags,15,0,55.47,"AFH | Shopping | Furniture | Villains",2025-12-24
walnut bar stools,15,0,7.90,"AFH | Shopping | Furniture | Villains",2025-12-24
brass candlestick holders,15,0,6.71,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
candle stick holder,15,0,6.60,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
antique brass candle holders,14,0,5.93,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
candlestick,14,0,3.79,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
accessoriesforthehome,13,0,13.90,"AFH | Search | Brand",2025-12-24
black display cabinet,12,0,11.42,"AFH | Shopping | Furniture | Villains",2025-12-24
necklace stand,11,0,4.50,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
bean bag chair,10,0,11.64,"AFH | Shopping | Furniture | Villains",2025-12-24
display cabinet,10,0,10.20,"AFH | Shopping | Furniture | Villains",2025-12-24
drinks trolley uk,10,0,10.09,"AFH | Shopping | Furniture | Villains",2025-12-24
brass candle holders,10,0,4.55,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
round mirror,10,0,7.59,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
vintage candle holders,10,0,5.14,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
wee willie winkie candle holder,10,0,5.07,"AFH | Shopping | Accessories | Heroes & Sidekicks & Zombies",2025-12-24
