date,spend,conversions,revenue,roas,roas_pct,conversion_rate,clicks,impressions,ctr
2024-12-01,639.9,485.29,5005.84,7.82,782.3,30.54,1589,92428,1.72
2024-12-02,641.62,548.72,6093.76,9.5,949.7,35.11,1563,86406,1.81
2024-12-03,614.7,624.73,7317.85,11.9,1190.5,35.99,1736,99112,1.75
2024-12-04,651.1,452.93,4864.66,7.47,747.1,28.61,1583,92222,1.72
2024-12-05,608.64,551.36,6919.14,11.37,1136.8,33.27,1657,102124,1.62
2024-12-06,649.2,547.97,5656.44,8.71,871.3,32.21,1701,94631,1.8
2024-12-07,636.07,605.6,7327.32,11.52,1152.0,32.89,1841,105719,1.74
2024-12-08,636.45,648.25,8386.38,13.18,1317.7,34.93,1856,105667,1.76
2024-12-09,639.97,688.24,8045.83,12.57,1257.2,35.9,1917,108675,1.76
2024-12-10,563.85,643.84,6229.6,11.05,1104.8,41.38,1556,95640,1.63
2024-12-11,699.83,566.86,6326.47,9.04,904.0,33.17,1709,98259,1.74
2024-12-12,577.91,669.32,7637.26,13.22,1321.5,43.83,1527,92896,1.64
2024-12-13,711.09,545.84,6582.59,9.26,925.7,32.01,1705,115065,1.48
2024-12-14,657.59,487.06,5783.14,8.79,879.4,31.61,1541,101344,1.52
2024-12-15,667.01,713.74,7604.66,11.4,1140.1,44.0,1622,98164,1.65
2024-12-16,617.7,653.09,7472.42,12.1,1209.7,40.24,1623,101833,1.59
2024-12-17,585.66,601.64,6635.39,11.33,1133.0,38.82,1550,98858,1.57
2024-12-18,624.46,450.06,6495.41,10.4,1040.2,29.42,1530,105188,1.45
2024-12-19,657.37,480.62,5819.22,8.85,885.2,32.36,1485,110367,1.35
2024-12-20,199.06,137.88,1882.12,9.45,945.5,36.87,374,23695,1.58
