"Ad report (November 01, 2025 - November 21, 2025)"
Request Id: 973c41a3-e0d6-ae30-63a6-eb5f6788fd61

Status,Ad,Campaign,Ad group,AdStrength,Delivery,Clicks,Impr.,CTR,Avg. CPC,Spend,Conv.,Labels,Top impr. rate,Abs. top impr. rate,AdStrengthActionItems,Text,Display Url,Destination Url,Final Url,Mobile Final Url,App Platform,App Id,Ad type,Tracking Template,Custom Parameter,Final Url Suffix,Text Part 2,Title Part 1,Title Part 2,Title Part 3,Path 1,Path 2,Business Name,Headline,Long Headline,Call To Action,Landscape Image Media Id,Landscape Logo Media Id,Square Image Media Id,Square Logo Media Id,Images,Impression Tracking Urls,Videos,Video Duration,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long Headline 1,Long Headline 2,Long Headline 3,Long Headline 4,Long Headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Headline 1 Position,Headline 2 Position,Headline 3 Position,Headline 4 Position,Headline 5 Position,Headline 6 Position,Headline 7 Position,Headline 8 Position,Headline 9 Position,Headline 10 Position,Headline 11 Position,Headline 12 Position,Headline 13 Position,Headline 14 Position,Headline 15 Position,Description 1 Position,Description 2 Position,Description 3 Position,Description 4 Position
Enabled,,CPL | WBS | Shopping Heroes,WBS | Product List,-,Ad group paused,0,0,0%,0,0,0,,0%,0%,-,,,,,,,,Product ad,,,,,,,,,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,Fast UK Delivery,CPL | HSG | Shopping - OF,Product List,-,Campaign paused,0,0,0%,0,0,0,,0%,0%,-,,,,,,,,Product ad,,,,,,,,,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | HSG | Shopping - OF,Product List,-,Campaign paused,0,0,0%,0,0,0,,0%,0%,-,,,,,,,,Product ad,,,,,,,,,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | DSA - By SKU,WBS | DSA | FGCOZ002 (Puppy) | Cozy Cushion Microwave Animal Cushions,-,Campaign paused,0,0,0%,0,0,0,,0%,0%,-,"Microwaveable & Completely Natural UK Wheat Bags From £7.95, Fast Del",,,,,,,DynamicSearch,{unescapedlpurl},,,,,,,WheatBags,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | DSA - By SKU,WBS | DSA | FGWHE020HC | Two Spare Covers for Small Hospital Heat Pack,-,Campaign paused,0,0,0%,0,0,0,,0%,0%,-,"Microwaveable & Completely Natural UK Wheat Bags From £7.95, Fast Del",,,,,,,DynamicSearch,{unescapedlpurl},,,,,,,WheatBags,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | DSA - By SKU,WBS | DSA | FGWHE002 | Wheat Bags - The Original Heat Pack,-,Campaign paused,0,0,0%,0,0,0,,0%,0%,-,"Microwaveable & Completely Natural UK Wheat Bags From £7.95, Fast Del",,,,,,,DynamicSearch,{unescapedlpurl},,,,,,,WheatBags,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | DSA - By SKU,WBS | DSA | FGWEL001 | Soothing Wellness Set,-,Campaign paused,0,0,0%,0,0,0,,0%,0%,-,"Microwaveable & Completely Natural UK Wheat Bags From £7.95, Fast Del",,,,,,,DynamicSearch,{unescapedlpurl},,,,,,,WheatBags,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | DSA - By SKU,WBS | DSA | FGHOT003P | Personalised Luxury Fleece Hot Water Bottle Cover and Free Bottle,-,Campaign paused,0,0,0%,0,0,0,,0%,0%,-,"Microwaveable & Completely Natural UK Wheat Bags From £7.95, Fast Del",,,,,,,DynamicSearch,{unescapedlpurl},,,,,,,WheatBags,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS |  WheatyBags - Company,Search - Wheaty Bags - Brand || Exact Match,Excellent,Eligible,14,144,9.72%,0.29,4.1,2,,19.84%,3.17%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Pain_Relief,,,,,,,,,[null],,null,,The Wheat Bag Specialists,Huge Range Of Sizes & Shapes,Big Range Of Sizes From £7.99,Big Choice Of Shapes & Sizes,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,Safely Microwave In Minutes,Low Prices - Fast Delivery,Order Online @ Wheatybags,Wheaty Bags @ WheatyBags.co.uk,,,,,-,-,-,-,-,From £7.99 - Natural Pain Relief - Microwave For Soothing Comfort - View Now!,Wheaty Bags Are The Natural Way To Relieve Pain In Muscles & Joints - Come & Take A Look!,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,
Enabled,,CPL | WBS |  Ailments,Back Pain,Good,Campaign paused,0,0,0%,0,0,0,,0%,0%,AddMoreDescriptions; IncludeKeywordsOrKeywordInsertionDescriptions; AddMoreHeadlines; IncludeKeywordsOrKeywordInsertionHeadlines,,wheatybags.co.uk,,https://wheatybags.co.uk/pain-relief/back,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Back_Pain,,,,,,,,,[null],,null,,Wheat Bags For Back Pain,Huge Range Of Sizes & Shapes,From £8.95 With Fast Delivery,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,Safely Microwave In Minutes,Low Prices - Fast Delivery,,,,,,,,-,-,-,-,-,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,Wheat Bags Are The Natural Way To Relieve Pain In Muscles & Joints - Come & Take A Look!,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,
Enabled,,CPL | WBS |  Blepharitis,Search - Blepharitis || Exact Match,Good,Campaign paused,0,0,0%,0,0,0,,0%,0%,AddMoreDescriptions; IncludeKeywordsOrKeywordInsertionDescriptions; AddMoreHeadlines; AddLongerDescriptions,,wheatybags.co.uk,,https://wheatybags.co.uk/products/wheat-bags-eye-mask-heat-pack-dry-eyes-wheat-filling,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Blepharitis,,,,,,,,,[null],,null,,Blepharitis Eye Mask,Huge Range Of Sizes & Shapes,Soothing Blepharitis Eye Mask,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,Safely Microwave In Minutes,Low Prices - Fast Delivery,,,,,,,,-,-,-,-,-,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now,Wheat Bags Are The Natural Way To Relieve Pain In Muscles & Joints - Come & Take A Look,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,
