"Ad report (November 01, 2025 - November 21, 2025)"
Request Id: 6cbe06cd-bc03-d60b-de1e-2b43920078a7

Status,Ad,Campaign,Ad group,AdStrength,Delivery,Clicks,Impr.,CTR,Avg. CPC,Spend,Conv.,Labels,Top impr. rate,Abs. top impr. rate,AdStrengthActionItems,Text,Display Url,Destination Url,Final Url,Mobile Final Url,App Platform,App Id,Ad type,Tracking Template,Custom Parameter,Final Url Suffix,Text Part 2,Title Part 1,Title Part 2,Title Part 3,Path 1,Path 2,Business Name,Headline,Long Headline,Call To Action,Landscape Image Media Id,Landscape Logo Media Id,Square Image Media Id,Square Logo Media Id,Images,Impression Tracking Urls,Videos,Video Duration,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long Headline 1,Long Headline 2,Long Headline 3,Long Headline 4,Long Headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Headline 1 Position,Headline 2 Position,Headline 3 Position,Headline 4 Position,Headline 5 Position,Headline 6 Position,Headline 7 Position,Headline 8 Position,Headline 9 Position,Headline 10 Position,Headline 11 Position,Headline 12 Position,Headline 13 Position,Headline 14 Position,Headline 15 Position,Description 1 Position,Description 2 Position,Description 3 Position,Description 4 Position
Enabled,,CPL | WBS | Shopping Heroes,WBS | Product List,-,Ad group paused,0,0,0%,0,0,0,,0%,0%,-,,,,,,,,Product ad,,,,,,,,,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS |  WheatyBags - Company,Search - Wheaty Bags - Brand || Exact Match,Excellent,Eligible,14,144,9.72%,0.29,4.1,2,,19.84%,3.17%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Pain_Relief,,,,,,,,,[null],,null,,The Wheat Bag Specialists,Huge Range Of Sizes & Shapes,Big Range Of Sizes From £7.99,Big Choice Of Shapes & Sizes,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,Safely Microwave In Minutes,Low Prices - Fast Delivery,Order Online @ Wheatybags,Wheaty Bags @ WheatyBags.co.uk,,,,,-,-,-,-,-,From £7.99 - Natural Pain Relief - Microwave For Soothing Comfort - View Now!,Wheaty Bags Are The Natural Way To Relieve Pain In Muscles & Joints - Come & Take A Look!,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,
Enabled,,CPL | WBS |  WheatyBags - Company,Search - SKAG | wheaty bags coupon code || Exact Match,Average,Eligible,0,4,0%,0,0,0,,100%,66.67%,IncludeKeywordsOrKeywordInsertionHeadlines; IncludeKeywordsOrKeywordInsertionDescriptions; AddMoreDescriptions; AddMoreHeadlines,,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Pain_Relief,,,,,,,,,[null],,null,,The Wheat Bag Specialists,Huge Range Of Sizes & Shapes,Big Range Of Sizes From £7.99,Big Choice Of Shapes & Sizes,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,Safely Microwave In Minutes,Low Prices - Fast Delivery,No Coupon Code - Low Prices,,,,,,-,-,-,-,-,From £7.99 - Natural Pain Relief - Microwave For Soothing Comfort - View Now!,Wheat Bags Are The Natural Way To Relieve Pain In Muscles & Joints - Come & Take A Look!,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Dynamic Category -  WBS - All || DSA,-,Ad group paused,0,0,0%,0,0,0,,0%,0%,-,"Wheat Bags For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes",,,,,,,DynamicSearch,,,,Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £7.99 - Look,,,,,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Dynamic Category -  WBS - All || DSA,-,Ad group paused,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,,,,,Responsive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Heat Cushions,-,Eligible,0,0,0%,0,0,0,Expanded Text Ads,0%,0%,-,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Are A Natural Way To Help Relieve Pain In Muscles & Joints - Come & Take A Look,Wheat Bag Heat Cushions,Huge Range Of Sizes & Shapes,Microwave For Soothing Relief,Wheat_Bags,Heat_Cushions,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Heat Cushions,-,Eligible,0,0,0%,0,0,0,Expanded Text Ads,0%,0%,-,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,Wheat Bag Heat Cushions,Huge Range Of Sizes & Shapes,Microwave For Soothing Relief,Wheat_Bags,Heat_Cushions,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Heat Cushions,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Heat_Cushions,,,,,,,,,[null],,null,,Wheat Bag Heat Cushions,Huge Range Of Sizes & Shapes,Eco-Friendly Relief,Direct From The Manufacturer,All Products from WheatyBags®,Microwavable Heat Bags,"Pure Comfort, Naturally",Buy Wheat Bags Online,Huge Range Of Sizes & Styles,The Wheat Bags Specialists,Naturally Soothe Pain,WheatBag Warming Cushion,Heatable Wheat Bags,Next Day Delivery Available,Buy Online At WheatyBags,-,-,-,-,-,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,Wheat Bags Are A Natural Way To Help Relieve Pain In Muscles & Joints - Come & Take A Look,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,Wheat Bags and Microwave Heat Packs from WheatyBags®,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Heated Neck Warmer,Pending,Ad group paused,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,Microwaveable,Neck_Warmer,,,,,,,,,[null],,null,,Microwaveable Neck Warmers,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Wheat Bags In A Range Of Sizes,Next Day Delivery Available,Low Prices & Fast Delivery,"Pure Comfort, Naturally",Safe To Warm In The Microwave,Safely Microwave In Minutes,Low Prices - Fast Delivery,Heatable Wheat Bags,Buy Wheat Bags UK,Buy Online At WheatyBags,Direct From The Manufacturer,Microwave For Soothing Relief,-,-,-,-,-,"Wheat Bags Warmed in the Microwave Have a Soothing Effect On Your Neck, Buy Yours Now!","WheatyBag Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £5.99 - Look,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | HSG | Shopping Heroes,HSG | Product List,-,Eligible,268,31301,0.86%,1.22,327.07,9,,0%,41.41%,-,,,,,,,,Product ad,,,,,,,,,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
