"Campaign report (January 01, 2025 - November 18, 2025)"
Request Id: e0fa0590-4da3-937e-0f49-e6adaa300180

Month,Campaign ID,Status,Campaign,Budget,Budget Type,Delivery,Campaign Type,Clicks,Impr.,CTR,Avg. CPC,Spend,Bid Strategy Type,CPA,Conv.,Conv. rate,Revenue,Return on ad spend,Top impr. rate,Abs. top impr. rate
-,[181350135],Paused,CPL | BMPM | Cushions | Broad,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350136],Paused,CPL | BMPM | Cushions | Exact,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350137],Paused,CPL | BMPM | Tablecloths | Broad,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350138],Paused,CPL | BMPM | Tablecloths | Exact,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350139],Paused,CPL | HSG | Emoji Cushion,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
2025-01-01,[181350140],Paused,CPL | HSG | HappySnapGifts - Company,10,DailyBudgetStandard,Campaign paused,Search,238,18676,1.27%,0.36,86.46,EnhancedCpc,0,0,0%,0,0%,24.55%,4.18%
-,[181350141],Paused,CPL | HSG | Photo Apron | Broad,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350142],Paused,CPL | HSG | Photo Apron | Exact,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350143],Paused,CPL | HSG | Photo Bunting,10,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350144],Paused,CPL | HSG | Photo Cushion | Broad,15,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350145],Paused,CPL | HSG | Photo Cushion | Exact,15,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350146],Paused,CPL | HSG | Photo Door Stop,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350147],Paused,CPL | HSG | Photo Sports Bottle,10,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350148],Paused,CPL | HSG | Photo Wine Bottle Bag,30,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350149],Paused,CPL | TJR | DSA - By SKU,10,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
-,[181350150],Paused,CPL | TJR | Eye Masks | Broad,100,DailyBudgetStandard,Campaign paused,Search,0,0,0%,0,0,EnhancedCpc,0,0,0%,0,0%,0%,0%
