www thedevonshirearms co uk,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,4,0,4, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
thedevonshirearms com,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,2,0,2, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell burnsall,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,100,88,12, +13.64%,407,162,245, +151.23%,GBP,46.04,46.00,0.04, +0.08%,24.57%,54.32%,-29.75%,-54.77%,0.46,0.52,-0.06,-11.93%,0.00,1.00,-1.00,-100.00%,0.00,46.00,-46.00,-100.00%,0.00%,1.14%,-1.14%,-100.00%,0.00,"1,645.00","-1,645.00",-100.00%,0.00,35.76,-35.76,-100.00%, --, --,0.00%,0.00%
devonshires,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,1,2,-1,-50.00%,GBP,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fells and dales cottages,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,1,0,1, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
burnsall classic fell race,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,4,1,3, +300.00%,GBP,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
felli hôtel,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,1,0,1, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
thedevonshirearms co uk,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,6,0,6, +∞,20,1,19, +1900.00%,GBP,2.08,0.00,2.08, +∞,30.00%,0.00%,30.00%, +∞,0.35,0,0.35, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell inn,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,1,0,1, +∞,6,1,5, +500.00%,GBP,1.29,0.00,1.29, +∞,16.67%,0.00%,16.67%, +∞,1.29,0,1.29, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fell burnsall,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,11,15,-4,-26.67%,66,40,26, +65.00%,GBP,4.88,8.26,-3.38,-40.92%,16.67%,37.50%,-20.83%,-55.56%,0.44,0.55,-0.11,-19.44%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel yorkshire,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,15,0,15, +∞,89,0,89, +∞,GBP,4.61,0.00,4.61, +∞,16.85%, --,16.85%, +∞,0.31,0,0.31, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
low fell hotel,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,2,1,1, +100.00%,GBP,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
lakeside inn whinfell,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,1,0,1, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
thorpe fell cabin,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,1,0,1, +∞,7,0,7, +∞,GBP,1.19,0.00,1.19, +∞,14.29%, --,14.29%, +∞,1.19,0,1.19, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
thedevonshirearms,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,0,1,-1,-100.00%,GBP,0.00,0.00,0.00,0.00%, --,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
fells hotel,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,1,0,1, +∞,4,0,4, +∞,GBP,0.20,0.00,0.20, +∞,25.00%, --,25.00%, +∞,0.20,0,0.20, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,10,0,10, +∞,55,0,55, +∞,GBP,2.01,0.00,2.01, +∞,18.18%, --,18.18%, +∞,0.20,0,0.20, +∞,1.00,0.00,1.00, +∞,2.01,0.00,2.01, +∞,10.00%,0.00%,10.00%, +∞,"1,860.00",0.00,"1,860.00", +∞,924.56,0.00,924.56, +∞, --, --,0.00%,0.00%
fell restaurant,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,0,2,-2,-100.00%,GBP,0.00,0.00,0.00,0.00%, --,0.00%,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell at burnsall,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,19,10,9, +90.00%,69,18,51, +283.33%,GBP,4.75,3.99,0.76, +19.00%,27.54%,55.56%,-28.02%,-50.43%,0.25,0.40,-0.15,-37.37%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel skipton,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,7,0,7, +∞,58,0,58, +∞,GBP,8.30,0.00,8.30, +∞,12.07%, --,12.07%, +∞,1.19,0,1.19, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the devonshires,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,1,0,1, +∞,4,2,2, +100.00%,GBP,0.01,0.00,0.01, +∞,25.00%,0.00%,25.00%, +∞,0.01,0,0.01, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fells,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,0,0,0,0.00%,26,0,26, +∞,GBP,0.00,0.00,0.00,0.00%,0.00%, --,0.00%,0.00%,0,0,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
the fell hotel menu,Performance Max,None,DEV | Core Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8, --,5,0,5, +∞,13,0,13, +∞,GBP,0.97,0.00,0.97, +∞,38.46%, --,38.46%, +∞,0.19,0,0.19, +∞,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --, --,0.00%,0.00%
