Search terms report
"October 13, 2025 - November 11, 2025"
Search term,Match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost
drovers arms grassington,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
loxley house hawes,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best places to stay in yorkshire dales,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
richmond hotel yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
priests house bolton abbey,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
feversham arms,Performance Max,None,2,29,6.90%,GBP,0.40,0.79,0.00,0.00,0.00%,0.00,0.00
hotels in harrogate with pool,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the lakes by yoo cotswolds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel whitby,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
parsonage hotel and spa,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
byfleet manor,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bolton abbey in the olden time,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the daffodil hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels tadcaster,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
brasserie bolton abbey,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
3 night christmas breaks yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
red lion bolton abbey,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
lincoln hotels uk,Performance Max,None,1,1,100.00%,GBP,0.33,0.33,0.00,0.00,0.00%,0.00,0.00
northop hall country house hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
apartment hotel harrogate,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near edwinstowe nottinghamshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
wrea head hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
ilkley hotels with parking,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury spa hotels near me,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotel in broadway cotswolds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
whitby hotels luxury,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
badgers hall chipping campden,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fountains abbey hotels,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the manor house castle combe,Performance Max,None,0,8,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotel leeds,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
places to stay near chatsworth derbyshire,Performance Max,None,1,1,100.00%,GBP,0.11,0.11,0.00,0.00,0.00%,0.00,0.00
hambleton hall,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the wood norton evesham,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fosse farmhouse,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
blackwood forest lodges,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
premier inn baslow,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
coniston hotel cottages,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa hotels llangollen,Performance Max,None,1,2,50.00%,GBP,0.72,0.72,0.00,0.00,0.00%,0.00,0.00
holiday inn express derby pride park,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
pilsley inn chatsworth,Performance Max,None,0,6,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
