Campaign,Budget,Action
DEV | Properties BE | Devonshire Arms Hotel 470 20/9 480 8/5 Ai 19/8,42,Set
DEV | Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8,66,Set
DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,40,Set
DEV | Properties CE | The Pilsley Inn 420 480 8/5 500 28/7,24,Set
DEV | Properties CE | Chatsworth Escapes Inns & Hotels 460 28/7 500 28/7,25,Set
DEV | Properties CE | The Beeley Inn 480 8/5 500 28/7,29,Set
DEV | Properties BE | Bolton Abbey Escapes Locations 500 28/7,11,Set
DEV | Properties BE | The Fell 500 11/6,21,Set
DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,16,Set
DEV | Properties BE | Bolton Abbey Escapes Self Catering 480 8/5 500 28/7,9,Set
DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,18,Set
DEV | Properties | The Hide,67,Set
