Row,Approved?,Campaign ID,Campaign Name,Ad Group ID,Ad Group Name,Keyword ID,Keyword Text,Match Type,Spend (£),Clicks,Impressions,Conversions,Conv Value (£),ROAS,Reason for Pause
1,y,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,1.66551E+11,Search - Peak District Cottages,166550831202~306651029886,luxurious cottage,EXACT,200.37,154,3282,0,0,0%,Zero conversions in 90 days
2,y,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,1.66551E+11,Search - Peak District Cottages,166550831202~10962031,peak district holiday cottages,BROAD,111.34,199,3848,0,0,0%,Zero conversions in 90 days
3,y,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,1.45261E+11,Search - Chatsworth Self Catering,145260755676~1380829512457,chatsworth cottages dog friendly,BROAD,65.68,128,1134,0,0,0%,Zero conversions in 90 days
4,y,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,1.45261E+11,Search - Chatsworth Self Catering,145260755676~917393278508,chatsworth estate cottages to rent,BROAD,56.71,155,1105,0,0,0%,Zero conversions in 90 days
5,y,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,1.50965E+11,Search - Chatsworth Estate Cottages,150965357731~413933579267,chatsworth estate holiday cottages,EXACT,52.09,212,607,0,0,0%,Zero conversions in 90 days
6,y,21839323410,DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,1.70844E+11,Search - Cavendish Hotel Baslow,170844309513~3345816867,bed and breakfast baslow,BROAD,149.87,164,2150,0,0,0%,Zero conversions in 90 days
7,y,21839323410,DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,1.70844E+11,Search - Cavendish Hotel Baslow,170844309513~98402665,country hotels uk,EXACT,120.57,66,1275,0,0,0%,Zero conversions in 90 days - too generic
8,y,21839323410,DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,1.70844E+11,Search - Cavendish Hotel Baslow,170844309513~2276232358722,cavendish house derbyshire,EXACT,84.09,175,769,0,0,0%,Zero conversions in 90 days - confuses Chatsworth House
9,y,19654308682,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,1.45493E+11,Search - Peak District Hotels,145493058603~304623178555,luxury hotels peak district,EXACT,71.44,100,817,0,0,0%,Zero conversions in 90 days
10,y,19654308682,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,1.45493E+11,Search - North Peak District Hotels,145493059123~317490987350,holidays in derbyshire peak district,BROAD,66.89,137,1354,0,0,0%,Zero conversions in 90 days
11,y,19654308682,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,1.45493E+11,Search - North Peak District Hotels,145493059123~63014168166,peak district getaways,BROAD,54.44,100,1155,0,0,0%,Zero conversions in 90 days
12,y,19654308682,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,1.45493E+11,Search - Peak District Hotels,145493058603~115031994,hotel peak district,BROAD,54.02,81,807,0,0,0%,Zero conversions in 90 days
13,y,2080736142,DEV | Properties CE | Chatsworth Escapes Inns & Hotels 460 28/7 500 28/7,1.46208E+11,Search - Chatsworth Estate Pubs,146207784658~1014592284223,chatsworth pubs with rooms,BROAD,128.59,276,1181,0,0,0%,Zero conversions in 90 days
14,y,2080736142,DEV | Properties CE | Chatsworth Escapes Inns & Hotels 460 28/7 500 28/7,1.46208E+11,Search - Chatsworth Estate Pubs,146207784658~13955850421,accommodation near chatsworth house,EXACT,54.55,74,351,0,0,0%,Zero conversions in 90 days
15,y,22539873565,DEV | Properties CE | The Beeley Inn 480 8/5 500 28/7,1.80093E+11,Search - Beeley Hotel,180093078420~361193543647,hotels in beeley,BROAD,81.15,126,1427,0,0,0%,Zero conversions in 90 days
16,y,19534106385,DEV | Properties CE | The Pilsley Inn 420 480 8/5 500 28/7,1.47581E+11,Search - Pilsley Hotels,147580845240~1930396696270,pilsley pubs,BROAD,307.22,632,2490,1,393.01,128%,DUPLICATE - Same keyword in Chatsworth Inns has 1587% ROAS. Internal competition.
