Action,Customer ID,Campaign,Ad group,Keyword,Criterion Type,Status
Pause,5898250490,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,Search - Peak District Cottages,luxurious cottage,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,Search - Peak District Cottages,peak district holiday cottages,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,Search - Chatsworth Self Catering,chatsworth cottages dog friendly,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,Search - Chatsworth Self Catering,chatsworth estate cottages to rent,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,Search - Chatsworth Estate Cottages,chatsworth estate holiday cottages,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,Search - Cavendish Hotel Baslow,bed and breakfast baslow,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,Search - Cavendish Hotel Baslow,country hotels uk,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,Search - Cavendish Hotel Baslow,cavendish house derbyshire,Keyword,Paused
Pause,5898250490,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,Search - Peak District Hotels,luxury hotels peak district,Keyword,Paused
Pause,5898250490,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,Search - North Peak District Hotels,holidays in derbyshire peak district,Keyword,Paused
Pause,5898250490,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,Search - North Peak District Hotels,peak district getaways,Keyword,Paused
Pause,5898250490,DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,Search - Peak District Hotels,hotel peak district,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Chatsworth Escapes Inns & Hotels 460 28/7 500 28/7,Search - Chatsworth Estate Pubs,chatsworth pubs with rooms,Keyword,Paused
Pause,5898250490,DEV | Properties CE | Chatsworth Escapes Inns & Hotels 460 28/7 500 28/7,Search - Chatsworth Estate Pubs,accommodation near chatsworth house,Keyword,Paused
Pause,5898250490,DEV | Properties CE | The Beeley Inn 480 8/5 500 28/7,Search - Beeley Hotel,hotels in beeley,Keyword,Paused
Pause,5898250490,DEV | Properties CE | The Pilsley Inn 420 480 8/5 500 28/7,Search - Pilsley Hotels,pilsley pubs,Keyword,Paused
