Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
https://www.nda.ac.uk/study/courses/diploma-interior-design?utm_source=google-ads&utm_medium=ppc&utm_id=01A1+-+COURSES+%2F+DIPLOMA+-+Interior+Design+-+UK,48130,4465,9.28%,174.561459,3.91%,£14399.06,£11962.72,0.83
https://www.nda.ac.uk/study/courses/degrees-interior-design,347556,4013,1.15%,123.176511,3.07%,£4961.10,£7578.65,1.53
https://www.nda.ac.uk/study/interior-design-degrees/,3557776,31786,0.89%,83.164242,0.26%,£17783.00,£14250.21,0.80
https://www.nda.ac.uk/study/interior-design-courses/,6602517,66682,1.01%,69.113891,0.10%,£25205.21,£18741.56,0.74
https://www.nda.ac.uk/study/courses/diploma-interior-design?utm_id=01A1+-+COURSES+%2F+DIPLOMA+-+Interior+Design+-+UK,17428,1674,9.61%,48.182361,2.88%,£4593.95,£1111.20,0.24
https://www.nda.ac.uk/study/design-courses/?utm_source=NEWGADS08.20&utm_medium=CPC&utm_campaign=BRAND-NATIONAL-DESIGN-ACADEMY&utm_term=NATIONAL%20DESIGN%20ACADEMY,8871,2411,27.18%,27.781829,1.15%,£4610.27,£9802.05,2.13
https://www.nda.ac.uk/study/courses/degrees-interior-design/?utm_source=google&utm_medium=cpc&utm_campaign=campaign,21319,1458,6.84%,24.936384,1.71%,£7008.00,£20.29,0.00
https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,4377195,37149,0.85%,13.810761,0.04%,£5673.49,£907.01,0.16
https://www.nda.ac.uk/study/courses/?utm_source=SITELINK&utm_medium=CPC&utm_campaign=SITELINK&utm_term=NA&utm_content=SITELINK,1042093,4736,0.45%,10.706557,0.23%,£6447.89,£2847.15,0.44
https://www.nda.ac.uk/study/courses/diploma-interior-design,5816682,43609,0.75%,8.947068,0.02%,£1496.03,£8.10,0.01
https://www.nda.ac.uk/advanced-learner-loan-2023/,156153,222,0.14%,4.793284,2.16%,£558.78,£503.16,0.90
https://www.nda.ac.uk/study/courses/degrees-interior-design/,273983,1111,0.41%,3.25833,0.29%,£823.00,£2.61,0.00
https://www.nda.ac.uk/study/courses/,2499,165,6.60%,2.833334,1.72%,£89.24,£1365.58,15.30
https://www.nda.ac.uk/study/courses/diploma/interior-design-online-fast-track/,4801,466,9.71%,2.600008,0.56%,£192.77,£2.00,0.01
https://www.nda.ac.uk/study/courses/short-courses/interior-design/,2107,131,6.22%,2.11869,1.62%,£104.50,£172.49,1.65
https://www.nda.ac.uk/study/courses/diploma/interior-design/,21167,1762,8.32%,2.0,0.11%,£990.22,£2.00,0.00
https://www.nda.ac.uk/study/courses/diploma-landscape-design/,7000,683,9.76%,1.370875,0.20%,£1384.01,£1.11,0.00
https://www.nda.ac.uk/study/courses/diploma/curtain-making-and-soft-furnishings-online-fast-track/,5240,570,10.88%,1.155224,0.20%,£625.66,£0.87,0.00
