Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
https://www.nda.ac.uk/study/courses/diploma-interior-design,10265448,87433,0.85%,245.85932200000002,0.28%,£27484.94,£14237.06,0.52
https://www.nda.ac.uk/study/courses/degrees-interior-design,642930,6585,1.02%,151.371225,2.30%,£12794.11,£7601.56,0.59
https://www.nda.ac.uk/study/interior-design-degrees,3558178,31796,0.89%,83.164242,0.26%,£17786.89,£14250.21,0.80
https://www.nda.ac.uk/study/interior-design-courses,6603585,66707,1.01%,69.113891,0.10%,£25222.50,£18741.56,0.74
https://www.nda.ac.uk/study/design-courses,14563,3170,21.77%,27.781829,0.88%,£5276.66,£9802.05,1.86
https://www.nda.ac.uk/study/courses,1045983,4905,0.47%,13.539891,0.28%,£6547.09,£4212.73,0.64
https://www.nda.ac.uk/advanced-learner-loan-2023,156237,222,0.14%,4.793284,2.16%,£558.78,£503.16,0.90
https://www.nda.ac.uk/study/courses/diploma/interior-design-online-fast-track,4811,469,9.75%,2.600008,0.55%,£193.31,£2.00,0.01
https://www.nda.ac.uk/study/courses/diploma-landscape-design,25949,2414,9.30%,2.370875,0.10%,£3131.01,£2.11,0.00
https://www.nda.ac.uk/study/courses/short-courses/interior-design,2109,131,6.21%,2.11869,1.62%,£104.50,£172.49,1.65
https://www.nda.ac.uk/study/courses/diploma/interior-design,21209,1767,8.33%,2.0,0.11%,£992.74,£2.00,0.00
https://www.nda.ac.uk/study/courses/diploma/curtain-making-and-soft-furnishings-online-fast-track,5240,570,10.88%,1.155224,0.20%,£625.66,£0.87,0.00
https://www.nda.ac.uk/study/courses/diploma-curtains-soft-furnishings,3149,367,11.65%,1.0,0.27%,£693.56,£1.00,0.00
https://www.nda.ac.uk/blog/interior-designer-or-architect,337,15,4.45%,1.0,6.67%,£15.81,£1.00,0.06
https://www.nda.ac.uk,910,86,9.45%,0.5,0.58%,£114.87,£822.50,7.16
https://www.nda.ac.uk/blog/best-interior-design-apps-part-2,4397,446,10.14%,0.333333,0.07%,£163.17,£500.00,3.06
https://www.nda.ac.uk/frequently-asked-questions,12,2,16.67%,0.125,6.25%,£9.46,£118.75,12.55
https://www.nda.ac.uk/blog/interior-design-for-small-spaces,129,17,13.18%,0.0,0.00%,£3.31,£0.00,0.00
https://www.nda.ac.uk/gallery/diploma,13,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/interior-design-interview-tips,42,3,7.14%,0.0,0.00%,£1.16,£0.00,0.00
https://www.nda.ac.uk/blog/interior-design-awards,162,14,8.64%,0.0,0.00%,£7.96,£0.00,0.00
