Campaign Name,Campaign Status,Asset Group Name,Asset Group Status,Landing Page URL(s),Impressions,Clicks,Conversions,Conv Value (£),Cost (£),ROAS
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/courses/degrees-interior-design,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design Diploma - Jobs,ENABLED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,1655,87,0.0,£0.00,£152.96,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design - Diploma,ENABLED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,6132,53,0.0,£0.00,£95.91,0.00
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,2231,18,0.0,£0.00,£35.62,0.00
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,8855,411,0.0,£0.00,£79.55,0.00
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,3214,113,0.0,£0.00,£6.40,0.00
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
