Campaign Name,Campaign Status,Asset Group Name,Asset Group Status,Landing Page URL(s),Impressions (90d),Clicks (90d),Conversions (90d),Conv Value (£),Cost (£),ROAS
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/courses/degrees-interior-design,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design Diploma - Jobs,ENABLED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,13190,291,0.0,£0.00,£506.98,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,ENABLED,Interior Design - Diploma,ENABLED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,705801,3428,7.0,£6.00,£4512.83,0.00
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,154973,562,1.0,£1.00,£1435.65,0.00
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,ENABLED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,ENABLED,Interior Design Diploma,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,276237,6167,0.333333,£468.24,£627.28,0.75
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,229636,3114,9.333333,£475.74,£272.01,1.75
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
