Campaign Name,Asset Group Name,Landing Page URL(s),Impressions,Clicks,Conversions,Conv Value (£),Cost (£),ROAS
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,Interior Design Diploma - Jobs,https://www.nda.ac.uk/study/courses/diploma-interior-design,13216,293,0.0,£0.00,£512.50,0.00
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,Interior Design - Diploma,https://www.nda.ac.uk/study/courses/diploma-interior-design,705850,3428,7.0,£6.00,£4514.34,0.00
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,Interior Design Diploma,https://www.nda.ac.uk/study/interior-design-courses,155048,562,1.0,£1.00,£1436.55,0.00
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,Interior Design Diploma,https://www.nda.ac.uk/study/interior-design-courses,276425,6169,0.333333,£468.24,£629.39,0.74
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,Interior Design Degree,https://www.nda.ac.uk/study/interior-design-degrees,229675,3115,9.333333,£475.74,£272.42,1.75
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,Remarketing - India,https://www.nda.ac.uk/study/courses/diploma-interior-design,9475301,78990,18.591163,£2274.70,£2372.58,0.96
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,Interior Design Degree,https://www.nda.ac.uk/study/interior-design-degrees,293554,1654,5.0,£4.00,£1188.45,0.00
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,Interior Design Degree,https://www.nda.ac.uk/study/interior-design-degrees,1938378,17454,30.288228,£7598.62,£2382.55,3.19
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,Interior Design Degree,https://www.nda.ac.uk/study/interior-design-degrees,892174,4129,0.0,£0.00,£1117.55,0.00
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,Interior Design Degree,https://www.nda.ac.uk/study/interior-design-degrees,76712,525,0.0,£0.00,£670.15,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,Interior Design Degree,https://www.nda.ac.uk/study/courses/degrees-interior-design,347597,4573,127.676511,£8364.93,£5182.80,1.61
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,Remarketing,https://www.nda.ac.uk/study/interior-design-courses,2536606,30323,19.97777,£1418.67,£2959.53,0.48
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,Interior Design Diploma,https://www.nda.ac.uk/study/interior-design-courses,629459,9667,24.4,£2350.87,£2354.74,1.00
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,Interior Design Diploma,https://www.nda.ac.uk/study/interior-design-courses,531506,2554,2.039832,£3563.49,£2189.06,1.63
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,Remarketing UAE,https://www.nda.ac.uk/study/courses/diploma-interior-design,275107,1153,3.25833,£2.61,£834.67,0.00
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,Interior Design Diploma,https://www.nda.ac.uk/study/interior-design-courses,2356572,11163,0.0,£0.00,£1307.98,0.00
