Campaign Name,Ad Group Name,Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
Interior Design Degree,Clearing,http://www.nda.ac.uk/index2.php,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
Interior Design Degree,Clearing,http://www.nda.ac.uk/index2.php,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
Interior Design Degree,Clearing,http://www.nda.ac.uk/index2.php,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Courses,Interior Design (Diploma),http://www.nda.ac.uk/courses/diploma-in-professional-interior-design-skills.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Courses,Interior Design (Diploma),http://www.nda.ac.uk/courses/diploma-in-professional-interior-design-skills.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Courses,Interior Design Courses,http://www.nda.ac.uk/courses/diploma-in-professional-interior-design-skills.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Courses,Interior Design Courses,http://www.nda.ac.uk/courses/diploma-in-professional-interior-design-skills.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Courses,Distance Learning Courses,http://www.nda.ac.uk/courses/diploma-in-professional-interior-design-skills.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Courses,Distance Learning Courses,http://www.nda.ac.uk/courses/diploma-in-professional-interior-design-skills.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Curtain Making,Curtain Making Diploma,http://www.nda.ac.uk/courses/Diploma-in-Curtain-Making-and-Soft-Furnishings.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Curtain Making,Curtain Making Diploma,http://www.nda.ac.uk/courses/Diploma-in-Curtain-Making-and-Soft-Furnishings.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Curtain Making,Curtain Making Diploma,http://www.nda.ac.uk/courses/diploma-in-skills-for-curtain-making-and-soft-furnishings.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Curtain Making,Curtain Making Diploma,http://www.nda.ac.uk/courses/diploma-in-skills-for-curtain-making-and-soft-furnishings.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Curtain Making,Curtain Making Diploma,http://www.nda.ac.uk/courses/Diploma-in-Curtain-Making-and-Soft-Furnishings.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Academy,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design At University,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design At University,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design At University,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design At University,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design At University,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design At University,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design At University,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
