Campaign Name,Ad Group Name,Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Best Online Interior Design Courses,https://www.nda.ac.uk/study/courses/diploma-interior-design,43001,4175,9.71%,93.313095,2.24%,£11504.00,£2598.76,0.23
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Architecture Courses Online,https://www.nda.ac.uk/study/courses/diploma-interior-design,4212,335,7.95%,4.760835,1.42%,£841.16,£3.45,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Decorating Programs Online,https://www.nda.ac.uk/study/courses/diploma-interior-design,1555,106,6.82%,1.017358,0.96%,£324.94,£1.02,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Design Certificate Online,https://www.nda.ac.uk/study/courses/diploma-interior-design,2376,206,8.67%,21.729942,10.55%,£590.97,£3378.91,5.72
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Design Diploma Online,https://www.nda.ac.uk/study/courses/diploma-interior-design,1603,161,10.04%,17.0,10.56%,£509.38,£15.00,0.03
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Designer Certificate Online,https://www.nda.ac.uk/study/courses/diploma-interior-design,4214,399,9.47%,13.0189,3.26%,£1281.49,£1655.02,1.29
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Online Decorating Course,https://www.nda.ac.uk/study/courses/diploma-interior-design,535,52,9.72%,0.0,0.00%,£159.57,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Online Interior Design,https://www.nda.ac.uk/study/courses/diploma-interior-design,18199,1909,10.49%,49.617733,2.60%,£6603.19,£4475.34,0.68
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Courses In Interior Design,https://www.nda.ac.uk/study/courses/diploma-interior-design,390,39,10.00%,0.0,0.00%,£99.23,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Diploma Interior Design,https://www.nda.ac.uk/study/courses/diploma-interior-design,86,14,16.28%,0.0,0.00%,£111.52,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Design Beginner Course,https://www.nda.ac.uk/study/courses/diploma-interior-design,195,24,12.31%,0.0,0.00%,£40.71,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Design Courses London,https://www.nda.ac.uk/study/courses/diploma-interior-design,134,9,6.72%,0.0,0.00%,£47.22,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Design Diploma,https://www.nda.ac.uk/study/courses/diploma-interior-design,442,57,12.90%,12.0,21.05%,£207.61,£11.00,0.05
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Design Programs,https://www.nda.ac.uk/study/courses/diploma-interior-design,1605,152,9.47%,19.031264,12.52%,£507.37,£2934.57,5.78
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,Interior Education,https://www.nda.ac.uk/study/courses/diploma-interior-design,256,19,7.42%,0.0,0.00%,£39.78,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,How To Be An Interior Designer,https://www.nda.ac.uk/study/courses/diploma-interior-design,759,49,6.46%,0.0,0.00%,£107.36,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,interior design foundation degree,https://www.nda.ac.uk/study/courses/degrees-interior-design,2662,168,6.31%,1.428574,0.85%,£633.72,£1.29,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,interior design online degree,https://www.nda.ac.uk/study/courses/degrees-interior-design,2101,103,4.90%,0.0,0.00%,£273.64,£0.00,0.00
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,interior design university,https://www.nda.ac.uk/study/courses/degrees-interior-design,833,44,5.28%,0.0,0.00%,£167.20,£0.00,0.00
NDA | UK | Search | Interior Design Careers  No Target,A - Interior Design Careers,https://www.nda.ac.uk/study/courses/diploma-interior-design,1626,298,18.33%,0.151115,0.05%,£798.86,£0.15,0.00
NDA | UK | Search | Interior Design Careers  No Target,D - Home/Interior Decor Careers,https://www.nda.ac.uk/study/courses/diploma-interior-design,1299,113,8.70%,0.206558,0.18%,£314.26,£247.87,0.79
NDA | UK | Search | Interior Design Careers  No Target,B - Interior Architecture Careers,https://www.nda.ac.uk/study/courses/diploma-interior-design,948,104,10.97%,0.0,0.00%,£225.56,£0.00,0.00
NDA | UK | Search | Interior Design Careers  No Target,C - Interior Stylist Careers,https://www.nda.ac.uk/study/courses/diploma-interior-design,54,9,16.67%,0.0,0.00%,£18.26,£0.00,0.00
NDA | UK | Search | Brand 100 New Customer 1/8 No Target,NDA Brand UK,https://www.nda.ac.uk/study/design-courses,3485,1114,31.97%,25.781829,2.31%,£2328.14,£5427.28,2.33
NDA | UK | Search | Landscape Design Diplomas No Target,A - Landscape & Garden Design Diploma,https://www.nda.ac.uk/study/courses/diploma-landscape-design,18915,1785,9.44%,1.0,0.06%,£1781.58,£1.00,0.00
NDA | UK | Search | Curtain Making Courses No Target,A - Curtain Making/Design,https://www.nda.ac.uk/study/courses/diploma-curtains-soft-furnishings,2905,365,12.56%,1.0,0.27%,£708.35,£1.00,0.00
NDA | UK | Search | Retail Design Degree No Target,A - Retail Design,https://www.nda.ac.uk/retail-design-degree,1804,162,8.98%,0.0,0.00%,£681.44,£0.00,0.00
NDA | EUR | Search | Landscape Design Courses 65,A - Landscape & Garden Design Courses,https://www.nda.ac.uk/study/design-courses,33,3,9.09%,0.0,0.00%,£0.42,£0.00,0.00
NDA | AT/FR/NL/MA/DE/SW | Search |  Landscape Design Diplomas No Target,A - Landscape & Garden Design Diploma,https://www.nda.ac.uk/study/design-courses,89,15,16.85%,0.0,0.00%,£25.04,£0.00,0.00
NDA | AT/FR/NL/MA/DE/SW | Search |  Landscape Design Diplomas No Target,A - Landscape & Garden Design Diploma,https://www.nda.ac.uk/study/courses/diploma-landscape-design,2279,227,9.96%,0.0,0.00%,£643.15,£0.00,0.00
NDA | AT/FR/NL/MA/DE/SW | Search | Interior Design Diploma 250 No Target 22/9,Interior Design Courses & Diploma,https://www.nda.ac.uk/study/interior-design-courses,4147,224,5.40%,0.0,0.00%,£339.17,£0.00,0.00
NDA | BH/CY/KW | Search | Interior Design Degree No Target,Interior Design Degree,https://www.nda.ac.uk/study/interior-design-degrees,13959,853,6.11%,1.0,0.12%,£1691.81,£1.00,0.00
NDA | BH/CY/KW | Search | Interior Design Degree No Target,Interior Design Masters,https://www.nda.ac.uk/study/interior-design-degrees,2063,127,6.16%,0.0,0.00%,£237.77,£0.00,0.00
NDA | BH/IN/CYSI | Search | Landscape Design Course No Target,A - Landscape & Garden Design Courses,https://www.nda.ac.uk/study/design-courses,5362,782,14.58%,0.0,0.00%,£667.19,£0.00,0.00
