NDA BUDGET REDUCTION PLAN - RETURN TO AUGUST LEVELS
Date:,"November 3, 2025"
Current (October):,"£39,996.40/month"
Target (August):,"£27,343.74/month"
Required Reduction:,"£12,652.66 (31.6%)"

Campaign Name,Market,YTD Conversions,CPA,Oct Spend,New Budget,Change %,Monthly Saving,Action,Rationale
NDA | P Max Reboot | Interior Design Diploma - MENA,International,0.00,£0,£750.84,£0.00,-100%,£750.84,PAUSE,"0 conversions despite £2,017 spend"
NDA | Search | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait 175,International,0.00,£0,£723.48,£0.00,-100%,£723.48,PAUSE,"0 conversions despite £1,944 spend"
NDA | UK | Search | Interior Design Careers  No Target,UK,0.15,£12167,£679.34,£0.00,-100%,£679.34,PAUSE,"Only 0.15 conv, CPA £12,167"
NDA | IN | Search | Interior Design Degree No Target,International,0.00,£0,£526.63,£0.00,-100%,£526.63,PAUSE,"0 conversions despite £1,415 spend"
NDA | Search | Interior Design Diploma - Bahrain/Cyprus/Kuwait+ 135,International,0.00,£0,£511.25,£0.00,-100%,£511.25,PAUSE,0 conversions
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar,International,0.50,£2289,£426.09,£0.00,-100%,£426.09,PAUSE,"Only 0.5 conv, CPA £2,289"
NDA | P Max | Interior Design Degree - USA/Canada 250 Split,International,0.00,£0,£338.34,£0.00,-100%,£338.34,PAUSE,0 conversions
NDA | BH/IN/CYSI | Search | Landscape Design Course No Target,International,0.09,£10041,£336.37,£0.00,-100%,£336.37,PAUSE,"Only 0.09 conv, CPA £10,041"
NDA | AT/FR/NL/MA/DE/SW | Search |  Landscape Design Diplomas No Target,International,0.00,£0,£336.11,£0.00,-100%,£336.11,PAUSE,0 conversions over 3 months
NDA | Low Intl | Search | Retail Design Degree No Target,International,0.00,£0,£285.95,£0.00,-100%,£285.95,PAUSE,0 conversions
NDA | AT/FR/NL/MA/DE/SW | Search | Interior Design Diploma 250,International,0.00,£0,£136.00,£0.00,-100%,£136.00,PAUSE,0 conversions
NDA | Low Intl | Search | Curtain Making Course No Target,International,0.00,£0,£14.51,£0.00,-100%,£14.51,PAUSE,0 conversions
