NDA BUDGET REDUCTION PLAN - RETURN TO AUGUST LEVELS (NO PAUSES)
Date:,"November 3, 2025"
Current (October):,"£39,996.40/month"
Target (August):,"£27,343.74/month"
Required Reduction:,"£12,652.66 (31.6%)"

Campaign Name,Market,YTD Conversions,CPA,Oct Spend,New Budget,Change %,Monthly Saving,Action,Rationale
NDA | P Max Reboot | Interior Design Diploma - MENA,International,0.00,£0,£750.84,£37.54,-95%,£713.30,REDUCE_95,"0 conversions, minimal test budget"
NDA | Search | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait 175,International,0.00,£0,£723.48,£36.17,-95%,£687.31,REDUCE_95,"0 conversions, minimal test budget"
NDA | IN | Search | Interior Design Degree No Target,International,0.00,£0,£526.63,£26.33,-95%,£500.30,REDUCE_95,"0 conversions, minimal test budget"
NDA | Search | Interior Design Diploma - Bahrain/Cyprus/Kuwait+ 135,International,0.00,£0,£511.25,£25.56,-95%,£485.69,REDUCE_95,"0 conversions, minimal test budget"
NDA | P Max | Interior Design Degree - USA/Canada 250 Split,International,0.00,£0,£338.34,£16.92,-95%,£321.42,REDUCE_95,"0 conversions, minimal test budget"
NDA | AT/FR/NL/MA/DE/SW | Search |  Landscape Design Diplomas No Target,International,0.00,£0,£336.11,£16.81,-95%,£319.30,REDUCE_95,"0 conversions, minimal test budget"
NDA | Low Intl | Search | Retail Design Degree No Target,International,0.00,£0,£285.95,£14.30,-95%,£271.65,REDUCE_95,"0 conversions, minimal test budget"
NDA | AT/FR/NL/MA/DE/SW | Search | Interior Design Diploma 250,International,0.00,£0,£136.00,£6.80,-95%,£129.20,REDUCE_95,"0 conversions, minimal test budget"
NDA | Low Intl | Search | Curtain Making Course No Target,International,0.00,£0,£14.51,£0.73,-95%,£13.78,REDUCE_95,"0 conversions, minimal test budget"
NDA | EUR | Search | Landscape Design Courses 65,International,0.00,£0,£0.04,£0.00,-95%,£0.04,REDUCE_95,"0 conversions, minimal test budget"
NDA | UK | Search | Interior Design Careers  No Target,UK,0.15,£12167,£679.34,£67.93,-90%,£611.41,REDUCE_90,"Only 0.15 conv, CPA £12,167, test minimal budget"
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar,International,0.50,£2289,£426.09,£42.61,-90%,£383.48,REDUCE_90,"Only 0.5 conv, CPA £2,289, test minimal budget"
NDA | BH/IN/CYSI | Search | Landscape Design Course No Target,International,0.09,£10041,£336.37,£33.64,-90%,£302.73,REDUCE_90,"Only 0.09 conv, CPA £10,041, test minimal budget"
NDA | UAE | Search | Interior Design Diploma No Target,International,7.50,£958,£2674.57,£534.91,-80%,£2139.66,REDUCE_80,"Very high CPA (£958), major reduction"
NDA | UAE | Search | Interior Design Degree No Target,International,2.00,£1747,£1300.25,£260.05,-80%,£1040.20,REDUCE_80,"Extremely high CPA (£1,747), major cut"
NDA | BH/CY/KW | Search | Interior Design Degree No Target,International,1.00,£2109,£784.87,£156.97,-80%,£627.90,REDUCE_80,"Extremely high CPA (£2,109), major cut"
NDA | P Max | Interior Design Diploma - USA/Canada 250,International,3.00,£673,£751.75,£150.35,-80%,£601.40,REDUCE_80,"High CPA (£673), major reduction"
NDA | UK | Search | Curtain Making Courses No Target,UK,1.00,£912,£339.40,£67.88,-80%,£271.52,REDUCE_80,"High CPA (£912), major reduction"
NDA | OM/SA/UAE | Search | Landscape Design No Target,International,1.37,£663,£338.13,£67.63,-80%,£270.50,REDUCE_80,"High CPA (£663), major reduction"
NDA | Pro Curtain Making & Soft Furnishings Fast-Track I 2023,UK,1.16,£782,£337.60,£67.52,-80%,£270.08,REDUCE_80,"High CPA (£782), major reduction"
NDA | UK | Search | Retail Design Degree No Target,UK,1.00,£828,£308.15,£61.63,-80%,£246.52,REDUCE_80,"High CPA (£828), major reduction"
NDA | Search | Interior Design Degree- UK 120 No Target 24/4,UK,11.51,£606,£2595.87,£1297.93,-50%,£1297.94,REDUCE_50,"High CPA (£606), reduce significantly"
NDA | P Max | Interior Design Diploma - UK 100 Remarketing,UK,16.00,£380,£2265.10,£1132.55,-50%,£1132.55,REDUCE_50,"High CPA (£380), reduce to test"
NDA | ROTW | Search | Brand Inclusion No Target,International,8.86,£371,£1223.41,£611.71,-50%,£611.70,REDUCE_50,"High CPA (£371), reduce to test"
NDA | Search | Interior Design Diploma - India Ai Max 19/9,International,5.59,£415,£863.46,£431.73,-50%,£431.73,REDUCE_50,"High CPA (£415), reduce to test"
NDA | Search | Brand - UAE  No Target 7/7,International,2.50,£471,£438.30,£219.15,-50%,£219.15,REDUCE_50,"High CPA (£471), reduce to test"
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,International,2.00,£551,£409.91,£204.96,-50%,£204.95,REDUCE_50,"High CPA (£551), reduce significantly"
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,UK,197.52,£95,£6958.88,£6958.88,0%,£0.00,KEEP,"Excellent CPA (£95), highest converter"
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,International,26.00,£277,£2681.98,£2681.98,0%,£0.00,KEEP,"Reasonable CPA (£277), good volume"
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,UK,145.60,£38,£2062.19,£2062.19,0%,£0.00,KEEP,Best CPA in account (£38)
NDA | OM/SA/BH/KW | Search | Interior Design Diploma No Target,International,16.00,£277,£1650.51,£1650.51,0%,£0.00,KEEP,"Reasonable CPA (£277), MENA presence"
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,International,17.27,£195,£1254.54,£1254.54,0%,£0.00,KEEP,"Good CPA (£195), key UAE market"
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,International,20.26,£165,£1241.49,£1241.49,0%,£0.00,KEEP,"Good CPA (£165), strong India performance"
NDA | US/CA | Search | Interior Design Degree 250 No Target 15/9,International,16.75,£149,£930.94,£930.94,0%,£0.00,KEEP,"Good CPA (£149), North America growth"
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,International,12.19,£200,£906.01,£906.01,0%,£0.00,KEEP,"Good CPA (£200), global reach"
NDA | UK | Search | Brand 100 New Customer 1/8 No Target,UK,16.78,£138,£860.73,£860.73,0%,£0.00,KEEP,"Good CPA (£138), strong brand campaign"
NDA | Search | Interior Design Diploma - USA/ Canada 250 Split 11/3,International,6.25,£292,£680.48,£680.48,0%,£0.00,KEEP,"Good CPA (£292), North America"
NDA | UK | Search | Landscape Design Diplomas No Target,UK,6.00,£253,£564.81,£564.81,0%,£0.00,KEEP,"Good CPA (£253), niche product"
NDA | Search | Interior Design Degree - Austria/France/Holland/Malta/Germany/Sweden,International,21.00,£65,£508.10,£508.10,0%,£0.00,KEEP,"Excellent CPA (£65), Europe performing well"

SUMMARY

Action,Campaigns,Current Spend,New Spend,Monthly Saving
REDUCE_95,10,"£3,623.15",£181.16,"£3,441.99"
REDUCE_90,3,"£1,441.80",£144.18,"£1,297.62"
REDUCE_80,8,"£6,834.72","£1,366.94","£5,467.78"
REDUCE_50,6,"£7,796.05","£3,898.03","£3,898.02"
KEEP,12,"£20,300.66","£20,300.66",£0.00

TOTAL,39,"£39,996.40","£25,890.97","£14,105.41"

Target Gap:,TARGET MET ✓
