country,tier,category,impressions,clicks,spend_gbp,conversions,ctr_percent,cpc_gbp,cpa_conversion_gbp,estimated_enrollments,actual_enrollments,estimated_revenue_gbp,actual_revenue_gbp,estimated_roas_percent,actual_roas_percent,cpa_estimated_gbp,cpa_actual_gbp
Algeria,Tier 1: High Volume,Active & Converting,2210203,32888,1903.64,12.86,1.49,0.06,148.01,1.93,1,6752.23,3500,355.0,184.0,986.74,1903.64
Australia,Tier 4: No Ads,Expansion Opportunity,0,0,0.0,0,0,0,0,0.0,1,0.0,3500,0,0,0,0.0
Austria,Tier 3: Low Volume,Active & Converting,4231,123,213.86,0.0,2.91,1.74,0,0.0,2,0.0,7000,0.0,3273.0,0,106.93
Bahrain,Tier 2: Medium Volume,Active & Converting,489048,2371,786.8,1.0,0.48,0.33,786.8,0.15,1,525.0,3500,67.0,445.0,5245.32,786.8
Belgium,Tier 4: No Ads,Expansion Opportunity,0,0,0.0,0,0,0,0,0.0,1,0.0,3500,0,0,0,0.0
Canada,Tier 2: Medium Volume,Active & Converting,112069,695,1272.15,1.0,0.62,1.83,1272.15,0.15,3,525.0,10500,41.0,825.0,8480.97,424.05
China,Tier 3: Low Volume,"Ads Active, No Enrollments",13093,174,48.38,0.0,1.33,0.28,0,0.0,0,0.0,0,0.0,0.0,0,0
Congo,Tier 4: No Ads,Expansion Opportunity,0,0,0.0,0,0,0,0,0.0,1,0.0,3500,0,0,0,0.0
Cyprus,Tier 3: Low Volume,Active & Converting,15894,522,733.49,0.0,3.28,1.41,0,0.0,2,0.0,7000,0.0,954.0,0,366.74
Denmark,Tier 3: Low Volume,"Ads Active, No Enrollments",3772,62,75.71,0.0,1.64,1.22,0,0.0,0,0.0,0,0.0,0.0,0,0
Egypt,Tier 4: No Ads,Expansion Opportunity,0,0,0.0,0,0,0,0,0.0,1,0.0,3500,0,0,0,0.0
France,Tier 3: Low Volume,Active & Converting,12879,334,711.63,1.0,2.59,2.13,711.63,0.15,1,525.0,3500,74.0,492.0,4744.22,711.63
Germany,Tier 3: Low Volume,Active & Converting,12931,384,711.7,0.0,2.97,1.85,0,0.0,7,0.0,24500,0.0,3442.0,0,101.67
