Campaign,Budget
NDA | AT/FR/NL/MA/DE/SW | Search |  Landscape Design Diplomas No Target,10
NDA | AT/FR/NL/MA/DE/SW | Search | Interior Design Diploma 250 No Target 22/9,25
NDA | BH/CY/KW | Search | Interior Design Degree No Target,30
NDA | BH/IN/CYSI | Search | Landscape Design Course No Target,10
NDA | EUR | Search | Landscape Design Courses 65,15
NDA | IN | Search | Interior Design Degree No Target,20
NDA | Low Intl | Search | Curtain Making Course No Target,10
NDA | Low Intl | Search | Retail Design Degree No Target,10
NDA | OM/SA/BH/KW | Search | Interior Design Diploma No Target,50
NDA | OM/SA/UAE | Search | Landscape Design No Target,10
NDA | P Max Reboot | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,10
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,30
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,20
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,27
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,10
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,20
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,10
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,20
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,10
NDA | P Max | Interior Design Diploma - UK 100 Remarketing 17/3 No Target 30/4 New Customers 1/8,30
NDA | P Max | Interior Design Diploma - USA/Canada 250 Split 11/3 No Target 29/5,10
NDA | Pro Curtain Making & Soft Furnishings Fast-Track I 2023,10
NDA | ROTW | Search | Brand Inclusion No Target,45
NDA | Search | Brand - UAE  No Target 7/7,15
NDA | Search | Interior Design Degree - Austria/France/Holland/Malta/Germany/Sweden Split 12/3 No Target 24/4,15
NDA | Search | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait 175 Split 11/3 No Target,45
NDA | Search | Interior Design Degree- UK 120 No Target 24/4,100
NDA | Search | Interior Design Diploma - Bahrain/Cyprus/Kuwait+ 135 Split 11/3,15
NDA | Search | Interior Design Diploma - India Ai Max 19/9,20
NDA | Search | Interior Design Diploma - USA/ Canada 250 Split 11/3,20
NDA | UAE | Search | Interior Design Degree No Target,50
NDA | UAE | Search | Interior Design Diploma No Target,90
NDA | UK | Search | Brand 100 New Customer 1/8 No Target,110
NDA | UK | Search | Curtain Making Courses No Target,10
NDA | UK | Search | Interior Design Careers  No Target,20
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,300
NDA | UK | Search | Landscape Design Diplomas No Target,20
NDA | UK | Search | Retail Design Degree No Target,10
NDA | US/CA | Search | Interior Design Degree 250 No Target 15/9,40
