"Day","Gross sales"
"2025-09-26",345.25
"2025-09-27",544.65
"2025-09-28",607.25
"2025-09-29",349.75
"2025-09-30",382.85
"2025-10-01",650.6
"2025-10-02",312.25
"2025-10-03",403.837
"2025-10-04",236.4
"2025-10-05",569.9
"2025-10-06",787.847
"2025-10-07",549.3
"2025-10-08",381.25
"2025-10-09",458.274
"2025-10-10",165
"2025-10-11",450.7
"2025-10-12",338.7
"2025-10-13",351.7
"2025-10-14",709.05
"2025-10-15",365.5
"2025-10-16",582.1
"2025-10-17",107.95
"2025-10-18",254.3
"2025-10-19",118.45
"2025-10-20",478.8
"2025-10-21",552.8
"2025-10-22",491.43
"2025-10-23",294.5
"2025-10-24",316.4
"2025-10-25",222.95
"2025-10-26",324.8
"2025-10-27",495.3
"2025-10-28",279.8
"2025-10-29",474.8
"2025-10-30",381.85
"2025-10-31",301.4
"2025-11-01",476.9
"2025-11-02",254.9
"2025-11-03",225.9
"2025-11-04",667.85
"2025-11-05",436.35
"2025-11-06",493
"2025-11-07",282.9
"2025-11-08",604.85
"2025-11-09",714.09
"2025-11-10",676.05
"2025-11-11",411.3
"2025-11-12",656.55
"2025-11-13",528.85
"2025-11-14",595.85
"2025-11-15",662.05
"2025-11-16",735.45
"2025-11-17",624.95
"2025-11-18",598.15
"2025-11-19",1270.1
"2025-11-20",261.35
"2025-11-21",660.85
"2025-11-22",1162.45
"2025-11-23",1218.3
"2025-11-24",612.7
"2025-11-25",544.55
