Feed name,Feed Id,Customer Id,Upload time
"Black Friday Promotions 2025","406579615","102535465","Nov 18, 2025, 12:02 pm GMT"

Item Id,Line number,Message,Type,Values,Item title
"1203901",,"Offer does not exist",Error,,
"1205062",,"Offer does not exist",Error,,
"1204329",,"Offer does not exist",Error,,
"1022987",,"Offer does not exist",Error,,
"1205029",,"Offer does not exist",Error,,
"1029443",,"Offer does not exist",Error,,
"1201705",,"Offer does not exist",Error,,
"1200538",,"Offer does not exist",Error,,
"1028344",,"Offer does not exist",Error,,
"1029322",,"Offer does not exist",Error,,
"1030150",,"Offer does not exist",Error,,
"1029791",,"Offer does not exist",Error,,
"1203114",,"Offer does not exist",Error,,
"1204591",,"Offer does not exist",Error,,
"1205023",,"Offer does not exist",Error,,
"1201047",,"Offer does not exist",Error,,
"1029871",,"Offer does not exist",Error,,
"1201410",,"Offer does not exist",Error,,
"1029250",,"Offer does not exist",Error,,
"1200800",,"Offer does not exist",Error,,
"1025505",,"Offer does not exist",Error,,
"1203514",,"Offer does not exist",Error,,
"1204137",,"Offer does not exist",Error,,
"1200660",,"Offer does not exist",Error,,
"1204249",,"Offer does not exist",Error,,
"1204357",,"Offer does not exist",Error,,
"1200776",,"Offer does not exist",Error,,
"1204321",,"Offer does not exist",Error,,
"1204356",,"Offer does not exist",Error,,
"1204187",,"Offer does not exist",Error,,
"1201819",,"Offer does not exist",Error,,
"1204252",,"Offer does not exist",Error,,
"1204426",,"Offer does not exist",Error,,
"1029838",,"Offer does not exist",Error,,
"1205089",,"Offer does not exist",Error,,
"1201684",,"Offer does not exist",Error,,
"1200897",,"Offer does not exist",Error,,
"1201200",,"Offer does not exist",Error,,
"1201107",,"Offer does not exist",Error,,
"1203489",,"Offer does not exist",Error,,
"1202188",,"Offer does not exist",Error,,
"1204118",,"Offer does not exist",Error,,
"1205150",,"Offer does not exist",Error,,
"1201432",,"Offer does not exist",Error,,
"1030136",,"Offer does not exist",Error,,
"1200593",,"Offer does not exist",Error,,
"1025592",,"Offer does not exist",Error,,
"1202564",,"Offer does not exist",Error,,
"1204565",,"Offer does not exist",Error,,
"1204325",,"Offer does not exist",Error,,
"1204084",,"Offer does not exist",Error,,
"1029393",,"Offer does not exist",Error,,
"1204074",,"Offer does not exist",Error,,
"1203069",,"Offer does not exist",Error,,
"1017671",,"Offer does not exist",Error,,
"1029247",,"Offer does not exist",Error,,
"1021480",,"Offer does not exist",Error,,
"1027572",,"Offer does not exist",Error,,
"1203546",,"Offer does not exist",Error,,
"1029239",,"Offer does not exist",Error,,
"1205041",,"Offer does not exist",Error,,
"1204223",,"Offer does not exist",Error,,
"1201679",,"Offer does not exist",Error,,
"1022897",,"Offer does not exist",Error,,
"1029408",,"Offer does not exist",Error,,
"1029276",,"Offer does not exist",Error,,
"1029876",,"Offer does not exist",Error,,
"1203942",,"Offer does not exist",Error,,
"1204142",,"Offer does not exist",Error,,
"1203962",,"Offer does not exist",Error,,
"1202440",,"Offer does not exist",Error,,
"1201480",,"Offer does not exist",Error,,
"1203583",,"Offer does not exist",Error,,
"1017789",,"Offer does not exist",Error,,
"1203949",,"Offer does not exist",Error,,
"1200802",,"Offer does not exist",Error,,
"1203898",,"Offer does not exist",Error,,
"1030155",,"Offer does not exist",Error,,
"1202894",,"Offer does not exist",Error,,
"1204744",,"Offer does not exist",Error,,
"1201769",,"Offer does not exist",Error,,
"1022753",,"Offer does not exist",Error,,
"1204464",,"Offer does not exist",Error,,
"1200801",,"Offer does not exist",Error,,
"1028833",,"Offer does not exist",Error,,
"1201933",,"Offer does not exist",Error,,
"1204380",,"Offer does not exist",Error,,
"1205086",,"Offer does not exist",Error,,
"1203913",,"Offer does not exist",Error,,
"1205074",,"Offer does not exist",Error,,
"1202200",,"Offer does not exist",Error,,
"1205078",,"Offer does not exist",Error,,
"1204285",,"Offer does not exist",Error,,
"1029782",,"Offer does not exist",Error,,
"1028654",,"Offer does not exist",Error,,
"1201920",,"Offer does not exist",Error,,
"1029796",,"Offer does not exist",Error,,
"1028330",,"Offer does not exist",Error,,
"1203331",,"Offer does not exist",Error,,
"1201831",,"Offer does not exist",Error,,
"1201707",,"Offer does not exist",Error,,
"1017674",,"Offer does not exist",Error,,
"1205030",,"Offer does not exist",Error,,
"1029241",,"Offer does not exist",Error,,
"1204264",,"Offer does not exist",Error,,
"1204385",,"Offer does not exist",Error,,
"1205027",,"Offer does not exist",Error,,
"1201092",,"Offer does not exist",Error,,
"1203930",,"Offer does not exist",Error,,
"1029529",,"Offer does not exist",Error,,
"1011755",,"Offer does not exist",Error,,
"1202619",,"Offer does not exist",Error,,
"1024166",,"Offer does not exist",Error,,
