Campaign,Negative Keyword,Criterion Type
SMY | EUR | DE | Shopping,kalender 2026,Negative Exact
SMY | EUR | DE | Shopping,2026 kalender,Negative Exact
SMY | EUR | DE | Shopping,weihnachtskarten hochwertig,Negative Exact
SMY | EUR | DE | Shopping,delmon varone,Negative Exact
SMY | EUR | DE | Shopping,prantl papier,Negative Exact
SMY | EUR | DE | Shopping,portemonnaie damen,Negative Exact
SMY | EUR | DE | Shopping,torquato gutschein,Negative Exact
SMY | EUR | DE | Shopping,edles briefpapier,Negative Exact
SMY | EUR | DE | Shopping,lesezeichen leder,Negative Exact
SMY | EUR | DE | Shopping,aktentasche herren,Negative Exact
SMY | EUR | DE | Shopping,schmuckkästchen reise,Negative Exact
SMY | EUR | DE | Shopping,schlüsselanhänger,Negative Exact
SMY | EUR | DE | Shopping,grußkarten,Negative Exact
SMY | EUR | DE | Shopping,gepäckanhänger,Negative Exact
SMY | EUR | DE | Shopping,lucrin geneva,Negative Exact
SMY | EUR | DE | Shopping,premium briefpapier,Negative Exact
SMY | EUR | DE | Shopping,scribble and daub,Negative Exact
SMY | EUR | DE | Shopping,reisetagebuch,Negative Exact
SMY | EUR | DE | Shopping,manufactum briefpapier,Negative Exact
SMY | EUR | DE | Shopping,a5 schreibmappe,Negative Exact
SMY | EUR | DE | Shopping,bethge,Negative Exact
SMY | EUR | DE | Shopping,bethge kalender 2026,Negative Exact
SMY | EUR | DE | Shopping,briefpapier set,Negative Exact
SMY | EUR | DE | Shopping,brillenetui,Negative Exact
SMY | EUR | DE | Shopping,notizbuch,Negative Exact
SMY | EUR | DE | Shopping,notizbuch mit register,Negative Exact
SMY | EUR | DE | Shopping,papeterie münchen,Negative Exact
SMY | EUR | DE | Shopping,personalisierter kalender 2026,Negative Exact
SMY | EUR | DE | Shopping,personalisierter schlüsselanhänger,Negative Exact
SMY | EUR | DE | Shopping,personalisiertes briefpapier,Negative Exact
SMY | EUR | DE | Shopping,planer 2026,Negative Exact
SMY | EUR | DE | Shopping,portemonnaie,Negative Exact
SMY | EUR | DE | Shopping,portemonnaie kinder,Negative Exact
SMY | EUR | DE | Shopping,premium briefumschläge,Negative Exact
SMY | EUR | DE | Shopping,reisepass hülle,Negative Exact
SMY | EUR | DE | Shopping,reisetagebuch zum ausfüllen,Negative Exact
SMY | EUR | DE | Shopping,schlüsselanhänger leder,Negative Exact
SMY | EUR | DE | Shopping,terminkalender 2026,Negative Exact
SMY | EUR | DE | Shopping,uhrenbox,Negative Exact
SMY | EUR | DE | Shopping,uhrenrolle,Negative Exact
SMY | EUR | DE | Shopping,wochenplaner,Negative Exact
SMY | EUR | DE | Shopping,jahresplaner 2026,Negative Exact
SMY | EUR | DE | Shopping,jahresplaner buch,Negative Exact
SMY | EUR | DE | Shopping,ledermappe,Negative Exact
SMY | EUR | DE | Shopping,ledermappe a4 schwarz,Negative Exact
SMY | EUR | DE | Shopping,pokerkoffer,Negative Exact
SMY | EUR | DE | Search | Brand Ai,smithon,Negative Exact
SMY | EUR | DE | Search | Brand Ai,smitson,Negative Exact
SMY | EUR | DE | Search | Brand Ai,smithens,Negative Exact
SMY | EUR | DE | Search | Brand Ai,aktentaschen herren,Negative Exact
SMY | EUR | DE | Search | Brand Ai,aktentaschen herren leder,Negative Exact
SMY | EUR | FR | Search | Brand Ai,smithon,Negative Exact
SMY | EUR | FR | Search | Brand Ai,smitson,Negative Exact
SMY | EUR | FR | Search | Brand Ai,smithens,Negative Exact
SMY | EUR | FR | Search | Brand Ai,pochette de voyage en cuir,Negative Exact
SMY | EUR | IT | Search Brand Ai,smithon,Negative Exact
SMY | EUR | IT | Search Brand Ai,smitson,Negative Exact
SMY | EUR | IT | Search Brand Ai,smithens,Negative Exact
SMY | EUR | ROEuro | Search | Brand Ai,smithon,Negative Exact
SMY | EUR | ROEuro | Search | Brand Ai,smitson,Negative Exact
SMY | EUR | ROEuro | Search | Brand Ai,smithens,Negative Exact
SMY | EUR | ROEuro | Search | Brand Ai,スマイソン ノート,Negative Exact
SMY | EUR | ROEuro | Search | Brand Ai,aktentaschen herren leder,Negative Exact
SMY | EUR | RONot | Search | Brand Ai,smithon,Negative Exact
SMY | EUR | RONot | Search | Brand Ai,smitson,Negative Exact
SMY | EUR | RONot | Search | Brand Ai,smithens,Negative Exact
