item_id,product_title,collection,product_type,impressions_30d,clicks_30d,cost_gbp_30d,conversions_30d,aov_segment
1205209,Travel Bag in Stamp Canvas,Stamp,Travel Bag,6181,8,10.63,0,
1205201,Small Travel Bag in Stamp Canvas,Stamp,Travel Bag,4494,0,0.00,0,
1205202,Travel Pouch in Stamp Canvas,Stamp,Pouch,13,0,0.00,0,
1203615,Travel Bag in Norton Canvas,Norton,Travel Bag,16402,49,46.04,0,
1203614,Small Travel Bag in Norton Canvas,Norton,Travel Bag,6578,17,22.17,0,
1204531,Crossbody Bag in Norton Canvas,Norton,Crossbody Bag,34,0,0.00,0,
1204530,Travel Pouch in Norton Canvas,Norton,Pouch,18,0,0.00,0,
1204529,Backpack in Norton Canvas,Norton,Backpack,5222,10,10.63,0,
1204044,Colour Block Backpack in Norton Canvas,Norton,Backpack,5623,13,27.34,0,
1204046,Colour Block Travel Bag in Norton Canvas,Norton,Travel Bag,5118,6,12.48,0,
1204282,Soft Travel Bag In Ludlow In Dark Taupe,Ludlow,Travel Bag,3513,6,8.69,0,mid aov
1204280,Small Soft Travel Bag In Ludlow In Dark Taupe,Ludlow,Travel Bag,7076,27,46.60,0,mid aov
1204278,Small Soft Travel Bag In Ludlow In Black,Ludlow,Travel Bag,1833,8,8.28,0,mid aov
1029352,48-Hour Travel Bag In Ludlow In Navy,Ludlow,Travel Bag,31165,162,199.40,1.002188,mid aov
1029347,48-Hour Travel Bag In Ludlow In Black,Ludlow,Travel Bag,3002,9,15.39,0,mid aov
1027757,Zip Around Backpack In Panama In Navy,Panama,Backpack,62404,246,300.18,5,mid aov
1027759,Zip Around Backpack In Panama In Black,Panama,Backpack,14632,59,72.66,0,mid aov
1204928,Zip Around Backpack In Panama In Fawn,Panama,Backpack,200,3,1.81,0,mid aov
1204222,Zip Around Backpack In Ludlow In Bottle Green,Ludlow,Backpack,15113,34,57.22,0,mid aov
1204220,Zip Around Backpack In Ludlow In Black,Ludlow,Backpack,369,3,1.58,0,mid aov
1204221,Zip Around Backpack In Ludlow In Navy,Ludlow,Backpack,290,2,3.73,0,mid aov
1029379,Zip Around Backpack In Ludlow In Navy,Ludlow,Backpack,163,0,0.00,0,mid aov
1201053,Compact Backpack In Ludlow In Black,Ludlow,Backpack,498,0,0.00,0,low aov
1202245,Compact Backpack In Ludlow In Dark Khaki,Ludlow,Backpack,330,0,0.00,0,low aov
