,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AW25 BLACK FRIDAY PRICE LIST ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REQUIRING UPLOAD INTO SAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AW25 BLACK FRIDAY LIST - EFFECTIVE 17/11/2025 - 01/12/2025,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14.00,15.00,16,17,18.00,19,20,21,22,23,24,25,26,27,28,,,,SRL ONLY,,,-29%,,,,,,,,,FS01 01,FS01 07,FS05 01,FS02 01,FS07 01,FS08 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DUPLICATES,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,077","45,325","3,012,441","11,533,829","8,215,773",,,ORIGINAL RRP,,,,,,CURRENT PRICE,,,,,,MARKDOWN PRICE - (EFFECTIVE 17/11),,,,,,% DISCOUNT,,,,,,% DISCOUNT (CALC),,,,,,CHECK,,,,,,,,,,,,
COMMENT,DUPLICATE STATUS,AW24 MD STATUS,BARCODE,ARTICLE,10 - DIGIT,DESCRIPTION,KEY STYLE GROUP,"SAP 
FINISH","SAP 
COLOUR","SAP 
CAT CODE",SAP MERCH CATEGORY,"SAP 
NEW SUBCAT","SAP 
NEW CAT/GENDER","SAP 
DEPT","SAP 
DIVISION",AW25 SSN STATUS,£ CP,ORIG GBP RTL,VKP2 31.10,CHECK,NEW GBP RTL,CHECK,BF GBP RTL,GM% @ ORIG,GM% @ NEW,BF GBP,DISC%,BF GM%,BF STATUS,MARKETING CAPSULE,EFFECTIVE DATE,DC STK,STR STK,BF SKU COUNT,CURRENT STK U,CURRENT STK COST,CURRENT STK VAL @ FP RRP,CURRENT STK VAL @ INIT BF,,,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,
,DUPLICATE,,5056027638028,1020392,,MARA 3 DRAW JWL BOX NAVY,3 DRAW JWL BOX,Mara,NAVY,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,452.26,"2,195.00","2,195.00",0.00,"2,195.00",0.00,"2,195.00",75.3%,75.3%,"1,536.00",30%,64.7%,NEW BF,LEATHER @ 30% OFF,17.11.2025,36,3,1,39,"17,638","71,338","49,920",,,"2,195.00","2,195.00","2,595.00","3,095.00","25,500.00","475,000.00","2,195.00","2,195.00","2,595.00","3,095.00","25,500.00","475,000.00","1,536.50","1,536.50","1,816.50","2,166.50","17,850.00","332,500.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,,5056352392503,1203379,,MARA 3 DRAW JWL BOX NAVY,3 DRAW JWL BOX,Mara,NAVY,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,452.26,"2,195.00","2,195.00",0.00,"2,195.00",0.00,"2,195.00",75.3%,75.3%,"1,536.00",30%,64.7%,NEW BF,LEATHER @ 30% OFF,17.11.2025,0,0,0,0,0,0,0,,,"2,195.00","2,195.00","2,595.00","3,095.00","25,500.00","475,000.00","2,195.00","2,195.00","2,595.00","3,095.00","25,500.00","475,000.00","1,536.50","1,536.50","1,816.50","2,166.50","17,850.00","332,500.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056027638035,1020393,,MARA DLX JWL BOX NAVY,DLX JWL BOX,Mara,NAVY,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,831.93,"3,095.00","3,095.00",0.00,"3,095.00",0.00,"3,095.00",67.7%,67.7%,"2,166.00",30%,53.9%,NEW BF,LEATHER @ 30% OFF,17.11.2025,14,3,1,17,"14,143","43,846","30,685",,,"3,095.00","3,095.00","3,795.00","4,495.00","35,000.00","695,000.00","3,095.00","3,095.00","3,795.00","4,495.00","35,000.00","695,000.00","2,166.50","2,166.50","2,656.50","3,146.50","24,500.00","486,500.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056352349842,1201196,,MARA JWL BOX W/ TRVL TRAY N BLUE,JWL BOX W/ TRVL TRAY,Mara,NILE BLUE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,358.94,"1,695.00","1,695.00",0.00,"1,695.00",0.00,"1,695.00",74.6%,74.6%,"1,186.00",30%,63.7%,NEW BF,LEATHER @ 30% OFF,17.11.2025,3,6,1,9,"3,230","12,713","8,895",,,"1,695.00","1,695.00","1,995.00","2,245.00","18,900.00","368,000.00","1,695.00","1,695.00","1,995.00","2,245.00","18,900.00","368,000.00","1,186.50","1,186.50","1,396.50","1,571.50","13,230.00","257,600.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056027639209,1020534,,MARA JWL BOX W/ TRVL TRAY NAVY,JWL BOX W/ TRVL TRAY,Mara,NAVY,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,358.94,"1,695.00","1,695.00",0.00,"1,695.00",0.00,"1,695.00",74.6%,74.6%,"1,186.00",30%,63.7%,NEW BF,LEATHER @ 30% OFF,17.11.2025,3,11,1,14,"5,025","19,775","13,837",,,"1,695.00","1,695.00","1,995.00","2,245.00","18,900.00","368,000.00","1,695.00","1,695.00","1,995.00","2,245.00","18,900.00","368,000.00","1,186.50","1,186.50","1,396.50","1,571.50","13,230.00","257,600.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,NEW MD - PROMO,5056352307996,1028654,,PMA 3 DRAW JWL BOX BLK,3 DRAW JWL BOX,PANAMA,BLACK,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,451.05,"2,095.00","2,095.00",0.00,"2,095.00",0.00,"2,095.00",74.2%,74.2%,"1,466.00",30%,63.1%,NEW BF,LEATHER @ 30% OFF,17.11.2025,36,2,1,38,"17,140","66,342","46,423",,,"2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","1,466.50","1,466.50","1,711.50","2,096.50","16,730.00","316,400.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
