Account,Action,Campaign,Ad group,Ad ID,Ad type,Ad status,Headline 1#Original,Headline 2#Original,Headline 3#Original,Headline 4#Original,Headline 5#Original,Headline 6#Original,Headline 7#Original,Headline 8#Original,Headline 9#Original,Headline 10#Original,Headline 11#Original,Headline 12#Original,Headline 13#Original,Headline 14#Original,Headline 15#Original,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1#Original,Description 2#Original,Description 3#Original,Description 4#Original,Description 1,Description 2,Description 3,Description 4,Final URL
7808690871,Edit,SMY | US | Search | Brand Exact,USA - Brand,784198246551,Responsive search ad,PAUSED,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/
7808690871,Edit,SMY | US | Search | Brand Exact,USA - Brand,784523200052,Responsive search ad,ENABLED,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/
7808690871,Edit,SMY | US | Search | Brand Exact,USA - Brand Sale,784539336374,Responsive search ad,ENABLED,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/
7808690871,Edit,SMY | US | Search | Brand Exact,USA - Brand Sale,784539336377,Responsive search ad,PAUSED,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Personalize your order today,Over 135 years of expertise,Free delivery on orders $500+,Handcrafted in England,Explore luxury Christmas gifts,Shop luxury stocking fillers,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Timeless leather craftsmanship,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/
7808690871,Edit,SMY | US | Search | Brand Plus,UK - semi-brand - men's briefcases,784448339422,Responsive search ad,ENABLED,Smythson of Bond Street™,Shop Smythson briefcases,Shop luxury leather pieces,Luxury briefcases,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury leather briefcases,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,Crafted for modern life,,,Smythson of Bond Street™,Shop Smythson briefcases,Shop luxury leather pieces,Luxury briefcases,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury leather briefcases,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,Crafted for modern life,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/bags/all-bags/briefcases
7808690871,Edit,SMY | US | Search | Brand Plus,USA - semi-brand  - diaries and organisers - notebooks,784198246689,Responsive search ad,PAUSED,Luxury leather notebooks,Shop Smythson notebooks,Shop luxury leather pieces,Gift of a notebook,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury leather notebooks,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Luxury leather notebooks,Shop Smythson notebooks,Shop luxury leather pieces,Gift of a notebook,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury leather notebooks,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/journals-and-books/notebooks/all-notebooks
7808690871,Edit,SMY | US | Search | Brand Plus,USA - semi-brand  - diaries and organisers - planners,784198246692,Responsive search ad,PAUSED,Luxury leather planners,Shop Smythson planners,Shop luxury leather pieces,Gift of a journal,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury leather planners,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Luxury leather planners,Shop Smythson planners,Shop luxury leather pieces,Gift of a journal,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury leather planners,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/journals-and-books/notebooks/planners
7808690871,Edit,SMY | US | Search | Brand Plus,USA - semi-brand  - diaries and organisers - travel journals,784198246704,Responsive search ad,ENABLED,Luxury leather travel journals,Shop Smythson travel journals,Smythson of Bond Street™,2026 full year journals,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury travel journals,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Luxury leather travel journals,Shop Smythson travel journals,Smythson of Bond Street™,2026 full year journals,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Shop luxury travel journals,Timeless leather pieces,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/journals-and-books/journals/full-year-journals
7808690871,Edit,SMY | US | Search | Brand Plus,USA - semi-brand - home - cufflink boxes - cufflink boxes,784198246680,Responsive search ad,ENABLED,Leather cufflink boxes,Smythson of Bond Street™,Shop luxury leather pieces,Shop luxury cufflink boxes,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover gifts for him & her,Timeless leather craftsmanship,Over 135 years of expertise,Free delivery on orders $500+,,,,,Leather cufflink boxes,Smythson of Bond Street™,Shop luxury leather pieces,Shop luxury cufflink boxes,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover gifts for him & her,Timeless leather craftsmanship,Over 135 years of expertise,Free delivery on orders $500+,,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/home/accessories/watch-cufflink-boxes
7808690871,Edit,SMY | US | Search | Brand Plus,USA - semi-brand - home - gifts,784198246710,Responsive search ad,ENABLED,Luxury gifts,Smythson of Bond Street™,Shop luxury leather pieces,Shop luxury leather gifts,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover Gifts For Him & Her,Shop luxury gifts,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Luxury gifts,Smythson of Bond Street™,Shop luxury leather pieces,Shop luxury leather gifts,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover Gifts For Him & Her,Shop luxury gifts,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/gifts/christmas-gifts
7808690871,Edit,SMY | US | Search | Brand Plus,USA - semi-brand - home - jewellery boxes - jewellery boxes,784198246554,Responsive search ad,ENABLED,Luxury leather jewelry boxes,Smythson of Bond Street™,Shop luxury leather pieces,Gifts for the home,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover gifts for him & her,Shop luxury jewelry boxes,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Luxury leather jewelry boxes,Smythson of Bond Street™,Shop luxury leather pieces,Gifts for the home,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover gifts for him & her,Shop luxury jewelry boxes,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/home/accessories/jewellery-boxes-rolls
7808690871,Edit,SMY | US | Search | Brand Plus,USA - semi-brand - home - jewellery boxes - ring boxes,784198246701,Responsive search ad,ENABLED,Leather ring boxes,Smythson of Bond Street™,Shop luxury leather pieces,Gifts for the home,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover gifts for him & her,Shop luxury ring boxes,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Leather ring boxes,Smythson of Bond Street™,Shop luxury leather pieces,Gifts for the home,Luxury gifts for him,Luxury gifts for her,Explore luxury Christmas gifts,Discover gifts for him & her,Shop luxury ring boxes,Over 135 years of expertise,Free delivery on orders $500+,Timeless leather craftsmanship,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/us/home/accessories/jewellery-boxes-rolls
