Account,Action,Campaign,Ad group,Ad ID,Ad type,Ad status,Headline 1#Original,Headline 2#Original,Headline 3#Original,Headline 4#Original,Headline 5#Original,Headline 6#Original,Headline 7#Original,Headline 8#Original,Headline 9#Original,Headline 10#Original,Headline 11#Original,Headline 12#Original,Headline 13#Original,Headline 14#Original,Headline 15#Original,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1#Original,Description 2#Original,Description 3#Original,Description 4#Original,Description 1,Description 2,Description 3,Description 4,Final URL
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - desk accessories - blotters,784228048462,Responsive search ad,ENABLED,Smythson of Bond Street™,Luxury leather blotters,Discover gifts for him & her,Shop luxury leather blotters,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Smythson of Bond Street™,Luxury leather blotters,Discover gifts for him & her,Shop luxury leather blotters,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1888","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/uk/home/accessories/desk-accessories
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - gifts,784228048453,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxury gifts,Discover gifts for him & her,Shop luxury gifts,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop luxury leather gifts,Luxury gifts for her,Luxury gifts for him,Explore luxury Christmas gifts,,,Smythson of Bond Street™,Luxury gifts,Discover gifts for him & her,Shop luxury gifts,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop luxury leather gifts,Luxury gifts for her,Luxury gifts for him,Explore luxury Christmas gifts,,,Make the ordinary extraordinary and the everyday timeless with Smythson,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/uk/gifts/christmas-gifts
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - jewellery boxes,784228048465,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxury leather jewellery boxes,Discover gifts for him & her,Shop luxury jewellery boxes,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop leather jewellery boxes,,,,,,Smythson of Bond Street™,Luxury leather jewellery boxes,Discover gifts for him & her,Shop luxury jewellery boxes,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop leather jewellery boxes,,,,,,Keep your treasures & keepsakes beautifully organized with our leather jewellery boxes,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Keep your treasures & keepsakes beautifully organized with our leather jewellery boxes,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/uk/home/accessories/jewellery-boxes-rolls
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - jewellery boxes - trinket cases,784228048444,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxury leather trinket cases,Discover gifts for him & her,Shop luxury trinket cases,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop leather trinket cases,,,,,,Smythson of Bond Street™,Luxury leather trinket cases,Discover gifts for him & her,Shop luxury trinket cases,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop leather trinket cases,,,,,,Keep your dressing table or desk in order with our luxury trinket trays and cases.,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Keep your dressing table or desk in order with our luxury trinket trays and cases.,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/uk/home/accessories/trinket-trays
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - jewellery boxes - trinket trays,784228048456,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxury leather trinket trays,Discover gifts for him & her,Shop luxury trinket trays,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop leather trinket trays,,,,,,Smythson of Bond Street™,Luxury leather trinket trays,Discover gifts for him & her,Shop luxury trinket trays,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Shop leather trinket trays,,,,,,Keep your dressing table or desk in order with our luxury trinket trays and cases.,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Keep your dressing table or desk in order with our luxury trinket trays and cases.,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/uk/home/accessories/trinket-trays
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - photo albums - albums,784228048459,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxury leather photo albums,Discover gifts for him & her,Shop luxury photo albums,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Smythson of Bond Street™,Luxury leather photo albums,Discover gifts for him & her,Shop luxury photo albums,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",,https://www.smythson.com/uk/home/accessories/frames-albums
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - photo frames - frames,784228048468,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxury leather photo frames,Discover gifts for him & her,Shop luxury photo frames,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Smythson of Bond Street™,Luxury leather photo frames,Discover gifts for him & her,Shop luxury photo frames,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",,https://www.smythson.com/uk/home/accessories/frames-albums
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - home - watch boxes,784228048450,Responsive search ad,PAUSED,Smythson of Bond Street™,Leather watch boxes,Discover gifts for him & her,Shop leather watch boxes,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Smythson of Bond Street™,Leather watch boxes,Discover gifts for him & her,Shop leather watch boxes,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,,,,,,,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",,https://www.smythson.com/uk/home/accessories/watch-cufflink-boxes
8573235780,Edit,SMY | UK | Search | Brand Plus,UK - semi-brand - stationery - notebooks,784197388692,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxury leather notebooks,Shop Smythson notebooks,Shop leather notebooks,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Handcrafted leather notebooks,Timeless leather pieces,fom,,,,Smythson of Bond Street™,Luxury leather notebooks,Shop Smythson notebooks,Shop leather notebooks,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,British heritage since 1887,Handcrafted leather notebooks,Timeless leather pieces,fom,,,,Each of our notebooks is hand-bound and packed full of our signature Featherweight paper.,Make this festive season truly special with Smythson’s curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Each of our notebooks is hand-bound and packed full of our signature Featherweight paper.,Make this festive season truly special with Smythson's curated collection of luxury gifts.,"Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/uk/diaries-and-books/notebooks/all-notebooks
8573235780,Edit,SMY | UK | Search | Brand Stationery,UK - semi-brand - stationery - plain stationery - envelopes,780374687967,Responsive search ad,ENABLED,Smythson quality envelopes,Smythson envelope excellence,Watermarked white laid style,Distinguished envelope range,Exquisite envelope quality,King & A4 envelope sizes,Handcrafted British envelopes,British crafted excellence,Shop exquisite stationery,,,,,,,Smythson quality envelopes,Smythson envelope excellence,Watermarked white laid style,Distinguished envelope range,Exquisite envelope quality,King & A4 envelope sizes,Handcrafted British envelopes,British crafted excellence,Shop exquisite stationery,,,,,,,Smythson London creates envelopes for those who value quality in every detail.,Lovingly handcrafted envelopes that transform ordinary letters into special deliveries.,British made envelopes combining traditional craftsmanship with contemporary elegance.,"This Christmas, celebrate the art of thoughtful gifting with Smythson",Smythson London creates envelopes for those who value quality in every detail.,Lovingly handcrafted envelopes that transform ordinary letters into special deliveries.,British made envelopes combining traditional craftsmanship with contemporary elegance.,,https://www.smythson.com/uk/stationery/plain-stationery/envelopes
