campaign,Asset Group,Label,Headline 1,30,Headline 2,30,Headline 3,30,Headline 4,30,Headline 5,30,Headline 6,30,Headline 7,30,Headline 8,30,Headline 9,30,Headline 10,30,Headline 11,30,Headline 12,30,Headline 13,30,Headline 14,30,Headline 15,30,LH 1,90,LH 2,90,LH 3,90,LH 4,90,LH 5,90,Description 1,90,Description 2,90,Description 3,90,Description 4,90,Description 5,90
EU/ROW,Diaries,,Smythson of Bond Street™,24,Luxury Leather Diaries,22,Over 135 Years Of Expertise,27,Luxury Leather Craftsmanship,28,Free Delivery On Orders €300+,29,Luxury Diaries to Gift,22,Gift a Smythson Diary,21,Personalisation Available,25,Personalise Your Order Today,28,Over 135 Years Of Expertise,27,Free Delivery On Orders £300+,29,Smythson Leather Diaries,24,Shop The 2026 Diary Collection,30,Crafted to Be Cherished,23,Elevate Their Year Ahead,24,Discover Smythson leather diaries - thoughtful gifts crafted to inspire the year ahead.,87,"Gift a Smythson diary, beautifully crafted with over 135 years of expertise.",76,"Mark the moment with a Smythson diary - refined, timeless and made to be cherished.",83,Start their year with a Smythson diary - where heritage meets everyday elegance.,80,Capture all of life’s moments with Smythson's full-year diaries.,64,Give a thoughtful start to their year with a handcrafted Smythson diary.,72,Mark the moment with a Smythson diary - beautifully designed to inspire the year ahead.,87,Explore Gold-Stamped Initials Motifs & More To Make Diaries Uniquely Yours or Theirs.,85,Start Planning Next Year’s Adventures With Our 2026 Diaries.,60,"Your Year, Thoughtfully Organised In Signature Smythson Style.",62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campaign,Asset Group,Label,Headline 1,30,Headline 2,30,Headline 3,30,Headline 4,30,Headline 5,30,Headline 6,30,Headline 7,30,Headline 8,30,Headline 9,30,Headline 10,30,Headline 11,30,Headline 12,30,Headline 13,30,Headline 14,30,Headline 15,30,LH 1,90,LH 2,90,LH 3,90,LH 4,90,LH 5,90,Description 1,90,Description 2,90,Description 3,90,Description 4,90,Description 5,90
DE,Diaries,,Smythson of Bond Street™,24,Luxuslederterminkalender,24,Über 135 Jahre Erfahrung,24,Luxuriöse Lederhandwerkskunst,29,Gratis-Lieferung ab BW 300€,27,Luxusterminkalender schenken,28,Terminkalender schenken,23,Personalisierung möglich,24,Die personalisierte Bestellung,30,Über 135 Jahre Erfahrung,24,Gratis-Lieferung ab BW 300£,27,Smythson Lederterminkalender,28,Terminkalenderkollektion 2026,29,Mit Liebe hergestellt,21,Das kommende Jahr aufwerten,27,"Smythson Lederterminkalender – durchdachte Geschenke, die das kommende Jahr inspirieren.",88,"Einen Smythson Terminkalender schenken, der mit über 135 Jahren Erfahrung gefertigt wurde.",90,"Für das Besondere: Smythson Terminkalender – raffiniert, zeitlos, mit Liebe hergestellt.",88,Das Jahr mit einem Smythson Terminkalender beginnen – wo Tradition auf Eleganz trifft.,86,Halten Sie alle Momente des Lebens mit den Jahresterminkalendern von Smythson fest.,83,Beginnen Sie das Jahr mit einem handgefertigten Smythson Terminkalender.,72,Momente markieren mit einem Smythson Terminkalender – zur Inspiration des nächsten Jahres.,90,Goldgeprägte Initialen und mehr – einzigartige Terminkalender für Sie und Ihre Lieben.,86,Planen Sie Ihre Abenteuer für das kommende Jahr mit unseren Terminkalendern 2026.,81,"Ihr Jahr, sorgfältig organisiert im charakteristischen Smythson Stil.",69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campaign,Asset Group,Label,Headline 1,30,Headline 2,30,Headline 3,30,Headline 4,30,Headline 5,30,Headline 6,30,Headline 7,30,Headline 8,30,Headline 9,30,Headline 10,30,Headline 11,30,Headline 12,30,Headline 13,30,Headline 14,30,Headline 15,30,LH 1,90,LH 2,90,LH 3,90,LH 4,90,LH 5,90,Description 1,90,Description 2,90,Description 3,90,Description 4,90,Description 5,90
FR,Diaries,,Smythson of Bond Street™,24,Agenda de luxe en cuir,22,Plus de 135 années d’expertise,30,L’expertise du cuir de luxe,27,Livraison gratuite dès 300 €,28,Agendas de luxe à offrir,24,Offrez un agenda Smythson,25,Personnalisation disponible,27,Personnalisez votre commande,28,Plus de 135 années d’expertise,30,Livraison gratuite dès 300 €,28,Agendas en cuir Smythson,24,La collection d’agendas 2026,28,À chérir pour toujours,22,Rendez leur année unique,24,"Agendas en cuir Smythson, pensés pour inspirer chaque jour de l’année.",70,"Offrez un agenda Smythson, fruit de 135 ans d’un savoir-faire d’exception.",74,"Célébrez l’instant avec un agenda Smythson raffiné, intemporel et à chérir.",75,Commencez leur année avec un agenda Smythson alliant tradition et élégance au quotidien.,88,Saisissez chaque instant de vie avec les agendas annuels de Smythson.,69,Commencez bien leur année avec un agenda Smythson fait main.,60,"Célébrez l’instant avec un agenda Smythson, élégamment conçu pour inspirer l’année à venir",90,Découvrez nos initiales et motifs dorés pour rendre chaque agenda unique et personnel.,86,Commencez à planifier vos aventures de l’année prochaine avec nos agendas 2026.,79,"Votre année, soigneusement organisée dans le style signature de Smythson.",73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
