Account,Action,Campaign,Ad group,Ad ID,Ad type,Ad status,Headline 1#Original,Headline 2#Original,Headline 3#Original,Headline 4#Original,Headline 5#Original,Headline 6#Original,Headline 7#Original,Headline 8#Original,Headline 9#Original,Headline 10#Original,Headline 11#Original,Headline 12#Original,Headline 13#Original,Headline 14#Original,Headline 15#Original,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1#Original,Description 2#Original,Description 3#Original,Description 4#Original,Description 1,Description 2,Description 3,Description 4,Final URL
7679616761,Edit,SMY | EUR | CH | Search | Brand Ai,RONot | Brand,785121413211,Responsive search ad,REMOVED,Smythson of Bond Street™,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Luxury personalised gifts,Personalise your order today,Shop luxury leather pieces,Over 135 years of expertise,Timeless leather craftsmanship,"Black Friday Ends in {COUNTDOWN(2025-12-01 23:59:59,5)}",,,,,,Smythson of Bond Street™,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Luxury personalised gifts,Personalise your order today,Shop luxury leather pieces,Over 135 years of expertise,Timeless leather craftsmanship,"Black Friday Ends in {COUNTDOWN(2025-12-01 23:59:59,5)}",,,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/int/
7679616761,Edit,SMY | EUR | CH | Search | Brand Ai,RONot | Brand | Sale,785121413223,Responsive search ad,REMOVED,Smythson of Bond Street™,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Luxury personalised gifts,Personalise your order today,Shop luxury leather pieces,Over 135 years of expertise,Timeless leather craftsmanship,"Black Friday Ends in {COUNTDOWN(2025-12-01 23:59:59,5)}",,,,,,Smythson of Bond Street™,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Luxury personalised gifts,Personalise your order today,Shop luxury leather pieces,Over 135 years of expertise,Timeless leather craftsmanship,"Black Friday Ends in {COUNTDOWN(2025-12-01 23:59:59,5)}",,,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/int/
7679616761,Edit,SMY | EUR | DE | Search | Brand Ai,DE | Brand,732880000699,Responsive search ad,PAUSED,Smythson of Bond Street™,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,1887 gegründet,Hochwertige Geschenkideen,Feine Kalender & Planer,,,,Smythson of Bond Street™,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,1887 gegründet,Hochwertige Geschenkideen,Feine Kalender & Planer,,,,In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,Feinste Lederwaren – von Taschen bis Reiseetuis in ikonischem Smythson-Stil,"Von London nach Deutschland: Ikonisches Design, direkt zu Ihnen",In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,Feinste Lederwaren – von Taschen bis Reiseetuis in ikonischem Smythson-Stil,"Von London nach Deutschland: Ikonisches Design, direkt zu Ihnen",https://www.smythson.com/de/black-friday/
7679616761,Edit,SMY | EUR | DE | Search | Brand Ai,DE | Brand,784327102022,Responsive search ad,REMOVED,Smythson of Bond Street™,Das Black Friday Event ist da,Smythsons Black Friday Event,Black Friday-Angebote,Der Black Friday ist da!,Genießen Sie bis zu 30% Rabatt,Bis zu 30% Black Friday-Rabatt,Bis zu 30% Rabatt auf Artikel,Luxuslederartikel ansehen,Über 135 Jahre Erfahrung,Gratis-Lieferung ab BW 300€,Zeitlose Lederhandwerkskunst,Die personalisierte Bestellung,,,Smythson of Bond Street™,Das Black Friday Event ist da,Smythsons Black Friday Event,Black Friday-Angebote,Der Black Friday ist da!,Genießen Sie bis zu 30% Rabatt,Bis zu 30% Black Friday-Rabatt,Bis zu 30% Rabatt auf Artikel,Luxuslederartikel ansehen,Über 135 Jahre Erfahrung,Gratis-Lieferung ab BW 300€,Zeitlose Lederhandwerkskunst,Die personalisierte Bestellung,,,"Bis zu 30% Rabatt auf ausgewählte Taschen, Accessoires und Wohnartikel am Black Friday",Unser Black Friday Event hat begonnen. Bis zu 30% Rabatt auf ausgewählte Artikel.,Das Black Friday Event bei Smythson hat begonnen. Bis 30% Rabatt auf ausgewählte Artikel.,Shoppen Sie am Black Friday bei Smythson und erhalten Sie bis zu 30% Rabatt auf Artikel.,"Bis zu 30% Rabatt auf ausgewählte Taschen, Accessoires und Wohnartikel am Black Friday",Unser Black Friday Event hat begonnen. Bis zu 30% Rabatt auf ausgewählte Artikel.,Das Black Friday Event bei Smythson hat begonnen. Bis 30% Rabatt auf ausgewählte Artikel.,Shoppen Sie am Black Friday bei Smythson und erhalten Sie bis zu 30% Rabatt auf Artikel.,https://www.smythson.com/de/black-friday
7679616761,Edit,SMY | EUR | DE | Search | Brand Ai,DE | Brand,784941557977,Responsive search ad,REMOVED,Smythson of Bond Street™,Das Black Friday Event ist da,Smythsons Black Friday Event,Black Friday-Angebote,Der Black Friday ist da!,Genießen Sie bis zu 30% Rabatt,Bis zu 30% Black Friday-Rabatt,Bis zu 30% Rabatt auf Artikel,Über 135 Jahre Erfahrung,Gratis-Lieferung ab BW 300€,Zeitlose Lederhandwerkskunst,Die personalisierte Bestellung,,,,Smythson of Bond Street™,Das Black Friday Event ist da,Smythsons Black Friday Event,Black Friday-Angebote,Der Black Friday ist da!,Genießen Sie bis zu 30% Rabatt,Bis zu 30% Black Friday-Rabatt,Bis zu 30% Rabatt auf Artikel,Über 135 Jahre Erfahrung,Gratis-Lieferung ab BW 300€,Zeitlose Lederhandwerkskunst,Die personalisierte Bestellung,,,,"Bis zu 30% Rabatt auf ausgewählte Taschen, Accessoires und Wohnartikel am Black Friday",Unser Black Friday Event hat begonnen. Bis zu 30% Rabatt auf ausgewählte Artikel.,Das Black Friday Event bei Smythson hat begonnen. Bis 30% Rabatt auf ausgewählte Artikel.,Shoppen Sie am Black Friday bei Smythson und erhalten Sie bis zu 30% Rabatt auf Artikel.,"Bis zu 30% Rabatt auf ausgewählte Taschen, Accessoires und Wohnartikel am Black Friday",Unser Black Friday Event hat begonnen. Bis zu 30% Rabatt auf ausgewählte Artikel.,Das Black Friday Event bei Smythson hat begonnen. Bis 30% Rabatt auf ausgewählte Artikel.,Shoppen Sie am Black Friday bei Smythson und erhalten Sie bis zu 30% Rabatt auf Artikel.,https://www.smythson.com/de/
7679616761,Edit,SMY | EUR | DE | Search | Brand Ai,DE | Brand | Phrase,732880000696,Responsive search ad,PAUSED,Smythson of Bond Street™,Über 130 Jahre Erfahrung,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,,,,,,Smythson of Bond Street™,Über 130 Jahre Erfahrung,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,,,,,,In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,,,In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,,,https://www.smythson.com/de/
7679616761,Edit,SMY | EUR | DE | Search | Brand Max Conv Value No Target Max Conv with target ROAS,DE | Brand | Exact,732880000699,Responsive search ad,REMOVED,Smythson of Bond Street™,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,1887 gegründet,Hochwertige Geschenkideen,Feine Kalender & Planer,,,,Smythson of Bond Street™,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,1887 gegründet,Hochwertige Geschenkideen,Feine Kalender & Planer,,,,In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,Feinste Lederwaren – von Taschen bis Reiseetuis in ikonischem Smythson-Stil,"Von London nach Deutschland: Ikonisches Design, direkt zu Ihnen",In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,Feinste Lederwaren – von Taschen bis Reiseetuis in ikonischem Smythson-Stil,"Von London nach Deutschland: Ikonisches Design, direkt zu Ihnen",https://www.smythson.com/de/black-friday/
7679616761,Edit,SMY | EUR | DE | Search | Brand Max Conv Value No Target Max Conv with target ROAS,DE | Brand | Phrase,732880000696,Responsive search ad,REMOVED,Smythson of Bond Street™,Über 130 Jahre Erfahrung,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,,,,,,Smythson of Bond Street™,Über 130 Jahre Erfahrung,Luxuriöse Lederhandwerkskunst,Kostenlose Rücksendungen,Personalisierung möglich,Personalisierte Bestellung,Geschenke für sie und ihn,Luxus-Geschenkverpackung,Zeitlose Kollektionen,Kostenloser Versand ab 300 €,,,,,,In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,,,In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 130 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,,,https://www.smythson.com/de/
7679616761,Edit,SMY | EUR | DE | Search | Competitor | Ai,DE | Brand,784327102043,Responsive search ad,REMOVED,Smythson of Bond Street™,Kostenloser Versand ab 300 €,1887 gegründet,Hochwertige Geschenkideen,Feine Kalender & Planer,Kostenlose Geschenkverpackung,"Black Friday Ends in {COUNTDOWN(2025-12-01 23:59:59,5)}",,,,,,,,,Smythson of Bond Street™,Kostenloser Versand ab 300 €,1887 gegründet,Hochwertige Geschenkideen,Feine Kalender & Planer,Kostenlose Geschenkverpackung,"Black Friday Ends in {COUNTDOWN(2025-12-01 23:59:59,5)}",,,,,,,,,In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 135 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,Feinste Lederwaren – von Taschen bis Reiseetuis in ikonischem Smythson-Stil,"Von London nach Deutschland: Ikonisches Design, direkt zu Ihnen",In Großbritannien gebunden – Unveränderte Buchbindetechniken seit über 135 Jahren.,Entwerfen Sie Schreibwaren und personalisieren Sie Ihre Bestellung mit Goldprägung.,Feinste Lederwaren – von Taschen bis Reiseetuis in ikonischem Smythson-Stil,"Von London nach Deutschland: Ikonisches Design, direkt zu Ihnen",https://www.smythson.com/fr/
7679616761,Edit,SMY | EUR | FR | Search | Brand Ai,FR | Brand | Exact,784327102025,Responsive search ad,REMOVED,Smythson of Bond Street™,Le Black Friday débarque,Offres Black Friday Smythson,Nos offres Black Friday,Le Black Friday est de retour,Profitez de jusqu’à -30%,Black Friday : jusqu’à -30%,-30% sur une sélection,Plus de 135 années d’expertise,Livraison gratuite dès 300 €,Portefeuilles : jusqu’à -30%,Le savoir-faire du cuir,Personnalisez votre commande,,,Smythson of Bond Street™,Le Black Friday débarque,Offres Black Friday Smythson,Nos offres Black Friday,Le Black Friday est de retour,Profitez de jusqu’à -30%,Black Friday : jusqu’à -30%,-30% sur une sélection,Plus de 135 années d’expertise,Livraison gratuite dès 300 €,Portefeuilles : jusqu’à -30%,Le savoir-faire du cuir,Personnalisez votre commande,,,"Black Friday : jusqu’à -30% sur certains sacs, accessoires et articles pour la maison.",Notre Black Friday est de retour. Profitez de jusqu’à -30% sur une sélection d’articles.,Le Black Friday fait son retour chez Smythson. Jusqu’à -30% sur une sélection d’articles.,"Ce Black Friday chez Smythson, bénéficiez de -30% sur une sélection d’articles.","Black Friday : jusqu’à -30% sur certains sacs, accessoires et articles pour la maison.",Notre Black Friday est de retour. Profitez de jusqu’à -30% sur une sélection d’articles.,Le Black Friday fait son retour chez Smythson. Jusqu’à -30% sur une sélection d’articles.,"Ce Black Friday chez Smythson, bénéficiez de -30% sur une sélection d’articles.",https://www.smythson.com/fr/soldes/black-friday
