Search Term,Campaign Name,Campaign Type,Clicks
life size magnetic tiles for kids,SUP | AU | Search | Generics AI Max On 6/8,Search,4
big magnetic tiles,SUP | AU | Search | Generics AI Max On 6/8,Search,15
superspace tiles,SUP | AU | P Max Shopping 500,Performance Max,109
life size magnetic tiles,SUP | AU | Search Brand | 600 Exact 5/8,Search,134
where to buy superspace tiles australia,SUP | AU | P Max Shopping 500,Performance Max,4
superspace tiles,SUP | AU | Search Brand | 600 Exact 5/8,Search,471
superspace magnetic tiles,SUP | AU | Search Brand | 600 Exact 5/8,Search,154
life size magnetic tiles,SUP | AU | Search | Generics AI Max On 6/8,Search,122
superspace,SUP | AU | P Max Shopping 500,Performance Max,273
large magnetic tiles,SUP | AU | Search | Generics AI Max On 6/8,Search,66
superspace australia,SUP | AU | Search Brand | 600 Exact 5/8,Search,134
superspace,SUP | AU | Shopping 500,Shopping,78
large magnetic tiles,SUP | AU | P Max Shopping 500,Performance Max,53
superspace tiles australia,SUP | AU | Search Brand | 600 Exact 5/8,Search,195
super space,SUP | AU | Shopping 500,Shopping,10
superspace,SUP | AU | Search Brand | 600 Exact 5/8,Search,1481
giant magnetic tiles,SUP | AU | Shopping 500,Shopping,33
superspace australia,SUP | AU | P Max Shopping 500,Performance Max,47
get super space,SUP | AU | Search Brand | 600 Exact 5/8,Search,112
superspace tiles australia,SUP | AU | Search Brand | 600 Exact 5/8,Search,79
super space,SUP | AU | P Max Shopping 500,Performance Max,36
superspace tiles australia,SUP | AU | P Max Shopping 500,Performance Max,19
magnetic cubby house tiles,SUP | AU | Search | Generics AI Max On 6/8,Search,11
large magnetic tiles,SUP | AU | Search Brand | 600 Exact 5/8,Search,55
superspace australia,SUP | AU | Shopping 500,Shopping,13
superspace tiles review,SUP | AU | Search Brand | 600 Exact 5/8,Search,15
giant magnetic tiles,SUP | AU | P Max Shopping 500,Performance Max,122
super space tiles,SUP | AU | Search Brand | 600 Exact 5/8,Search,102
super space,SUP | AU | Search Brand | 600 Exact 5/8,Search,270
getsuperspace,SUP | AU | P Max Shopping 500,Performance Max,16
