Search Term,Campaign Name,Campaign Type,Clicks
den kit,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,30
fort building toy,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,4
superspace uk,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,198
superspace tiles review,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,28
den building kit,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,611
super space uk,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,12
giant magnetic tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,224
superspace tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,145
superspace uk,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,20
superspace,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,3788
the big set 24 panels,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,20
cardboard fort building kit,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,1
fort building kit,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,191
superspace discount code uk,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,7
magnetic den,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,84
kids magnetic tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,22
magnetic den building,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,98
giant magnetic tiles for kids,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,20
giant magnetic tiles,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,683
magnetic den building,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,41
magnetic tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,461
superspace big set,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,21
superpace,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,4
life size magnetic tiles for kids,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,48
magnatiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,96
magnetic tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,367
superspace uk,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,529
get super space,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,23
life size magnetic tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,247
giant magnetic tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,203
giant magna tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,48
super space magnetic tiles,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,87
den making,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,32
kids den building set,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,15
den building kit,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,695
fort building,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,40
superspace magnetic tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,144
super space tiles,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,248
childrens den kit,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,7
superspace tiles amazon,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,25
giant magnetic tiles superspace,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,13
large magnetic tiles,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,203
superspace,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,839
children play house,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,2
magnetic fort set,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,28
space tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,56
magna tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,256
superspace reviews,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,46
magnetic building tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,48
life size magnetic tiles,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,113
superspace ebay,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,6
fort building,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,25
giant magna tiles,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,169
large magna tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,25
magnatiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,140
den building,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,133
magnetic tiles large,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,14
super space,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,744
superspace tiles amazon,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,37
space magnetic tiles,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,Search,12
superspace tiles uk,SUP | UK | Search | Brand inclusion 19/6 550 15/7,Search,40
fort building kit for kids,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,30
superspace,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,157
super space tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,101
super space,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,61
magnetic fort tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,52
large magnetic tiles,SUP | UK | P Max Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,112
space tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,Shopping,15
