Search Term,Campaign Name,Campaign Type,Impressions,Clicks,Conversions
superspace,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,10737,2802,143.59
superspace tiles,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,6067,1311,53.99
superspace,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,SHOPPING,58546,685,32.81
superspace tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,SHOPPING,33911,483,26.63
super space,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,1905,523,24.79
superspace uk,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,1606,372,18.81
superspace uk,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,SHOPPING,8951,173,15.76
giant magnetic tiles,SUP | UK | Search | Generics 600 3/3 500 15/7 Ai 6/8 550 6/10,SEARCH,1972,529,12.04
getsuperspace,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,681,212,8.75
get superspace,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,423,140,8.00
den building kit,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,SHOPPING,44410,542,7.12
super space tiles,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,873,185,6.59
superspace magnetic tiles,SUP | UK | Search | Brand inclusion 19/6 550 15/7,SEARCH,1758,395,6.47
getsuperspace,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,SHOPPING,3289,36,5.02
superspace magnetic tiles,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,SHOPPING,9001,123,4.13
super space,SUP | UK | Shopping All 700 750 20/12 700 6/2 500 15/7 550 6/10,SHOPPING,4682,54,4.00
