Search Term,Campaign Name,Campaign Type,Clicks
magnetic panel playhouse,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,176
superspace blocks,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,24
magnetic felt fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,3
getsuperspace com,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,6
superspace tiles,SUP | US | Search | Brand Superspace 6/2 700 Test Brand Inclusion,Search,324
magnet tiles fort,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,9
magnetic playhouse,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,55
fort tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,61
fort building magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,67
get superspace,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,5
riwi building blocks,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,11
cardboard fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,19
magnet tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,57
magna tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,505
superspace,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,379
superspace tiles amazon,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,98
best fort building kits for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,16
large magna tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,162
magnet tile fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,33
building for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,4
superspaces,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,52
super space tiles reviews,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,6
superspace coupon,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,20
large magnet tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,41
fort builder for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,58
big building blocks,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,19
space magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,12
space tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,191
build a fort for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,66
fort magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,49
magnetic tiles fort building set,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,12
superspace tiles review,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,17
building blocks for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,45
giant magnet tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,87
big magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,229
large building magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,5
getsuperspace reviews,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,21
large magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,289
magnetic fort building,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,61
kids fort building kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,368
giant fort tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,6
best gifts for 3 year olds,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
superspace big set,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,56
large magna tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,130
superspace dupe,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,10
super space tiles ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,101
large magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,97
magnetic panel playhouse,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,150
superspace rectangles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,7
superspace tiles ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,223
super space,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,62
fort magna tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,50
superspace magnetic tiles review,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,13
giant magnetic tiles for forts,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,102
large magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,601
best fort building for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,2
super space,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,462
big magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,139
giant magna tiles for fort building,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,51
magnetic tiles for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,212
fort magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,115
fort building kit for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,530
magna tiles large squares,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,10
space saver magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,32
big magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,151
toys for 3 year old,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,11
magnetic fort building panels,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,89
superspace magnetic tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,2362
super space,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,50
big magna tiles fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,35
play hut tents,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,1
superspace ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,644
lifesize magnatiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,5
superspace,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,2185
supertiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,15
giant building tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,7
superspace tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,9088
superspace tiles review,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,110
large magnatiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,167
the big set 24 panels,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,11
large magnet tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,51
magnet fort,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,92
giant felt magnatiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,20
superspace us,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,59
fort for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,140
mega tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
magnetic tiles for forts,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
fort magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,37
magnetic fort building kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,38
superspace tiles review,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,67
