Match Type report by day
"October 12, 2025 - November 10, 2025"
Day,Search terms match type,Clicks,Conversions,Impr.,Conv. value,Conv. value / cost
2025-10-22,Exact match,195,10.99,"15,846",228.28,1.27
2025-10-23,Exact match,190,7.47,"14,237",89.88,0.64
2025-10-21,Exact match,178,14.97,"12,800",276.57,1.58
2025-10-14,Exact match,165,14.93,"8,992",231.17,1.80
2025-10-13,Exact match,163,10.56,"11,651",179.20,1.65
2025-10-20,Exact match,161,4.07,"10,863",73.48,0.58
2025-10-12,Exact match,160,11.80,"8,890",130.50,1.16
2025-10-15,Exact match,149,10.02,"9,354",118.53,1.15
2025-10-16,Exact match,145,11.40,"9,641",286.11,2.98
2025-10-17,Exact match,145,3.99,"10,412",55.92,0.69
2025-11-03,Exact match,129,12.29,"10,547",259.32,2.63
2025-11-01,Exact match,127,3.68,"7,286",55.49,0.64
2025-11-04,Exact match,122,5.26,"8,542",92.99,1.02
2025-10-19,Exact match,118,7.50,"7,452",119.56,1.54
2025-11-05,Exact match,117,5.34,"8,689",83.39,0.99
2025-11-10,Exact match,117,0.43,"7,165",18.26,0.22
2025-10-18,Exact match,110,6.44,"6,242",101.50,1.36
2025-11-09,Exact match,109,6.13,"9,438",93.55,1.19
2025-10-31,Exact match,108,5.01,"9,490",71.77,1.01
2025-11-02,Exact match,107,12.00,"8,065",188.65,2.25
2025-11-06,Exact match,103,16.75,"8,522",208.88,2.45
2025-10-30,Exact match,102,6.05,"7,601",121.02,1.39
2025-11-07,Exact match,89,3.00,"5,810",41.18,0.73
2025-11-08,Exact match,87,2.82,"7,023",40.76,0.58
2025-10-24,Exact match,70,2.00,"6,394",35.08,0.72
2025-10-28,Exact match,69,1.48,"4,715",17.54,0.30
2025-10-25,Exact match,68,4.30,"4,809",122.63,2.44
2025-10-26,Exact match,67,2.32,"4,686",46.00,1.27
2025-10-27,Exact match,67,2.05,"4,962",20.39,0.38
2025-10-29,Exact match,64,3.06,"3,971",68.36,1.18
2025-10-21,Phrase match,23,2.00,124,28.03,1.62
2025-10-20,AI Max,14,0.00,120,0.00,0.00
2025-10-13,Phrase match,13,1.00,132,29.00,2.19
2025-11-01,Phrase match,13,0.00,78,0.00,0.00
2025-10-14,Phrase match,12,1.00,105,46.93,5.25
2025-10-17,AI Max,12,0.00,98,0.00,0.00
2025-10-27,Phrase match,12,0.00,112,0.00,0.00
2025-11-10,Phrase match,12,0.00,81,0.00,0.00
2025-10-12,Phrase match,11,0.00,113,0.00,0.00
2025-10-15,Phrase match,11,2.00,89,21.53,3.31
2025-10-17,Phrase match,11,0.00,106,0.00,0.00
2025-11-08,Phrase match,11,3.00,85,47.63,5.23
2025-10-13,AI Max,10,0.48,135,5.92,1.00
2025-10-16,AI Max,10,0.00,103,0.00,0.00
2025-10-14,AI Max,9,0.00,163,0.00,0.00
2025-10-23,Phrase match,9,0.00,99,0.00,0.00
2025-11-05,Phrase match,9,0.00,89,0.00,0.00
2025-10-19,Phrase match,8,0.00,122,0.00,0.00
2025-10-20,Phrase match,8,0.00,141,0.00,0.00
2025-10-22,Phrase match,8,0.00,113,0.00,0.00
2025-10-20,Broad match,7,0.00,94,0.00,0.00
2025-10-21,Broad match,7,0.00,91,0.00,0.00
2025-10-23,AI Max,7,0.00,86,0.00,0.00
2025-10-24,Phrase match,7,0.00,95,0.00,0.00
2025-10-26,AI Max,7,0.65,100,10.05,0.96
2025-10-28,AI Max,7,0.00,97,0.00,0.00
2025-10-29,Phrase match,7,0.00,83,0.00,0.00
2025-11-09,Phrase match,7,0.00,81,0.00,0.00
2025-11-10,Broad match,7,0.00,93,0.00,0.00
2025-10-12,AI Max,6,0.00,128,0.00,0.00
2025-10-15,AI Max,6,0.00,100,0.00,0.00
2025-10-16,Phrase match,6,0.00,139,0.00,0.00
2025-11-01,AI Max,6,0.00,104,0.00,0.00
2025-11-03,Phrase match,6,0.00,71,0.00,0.00
2025-11-03,AI Max,6,0.33,119,7.55,1.63
2025-11-05,Broad match,6,1.00,64,8.65,2.23
2025-11-05,AI Max,6,0.00,78,0.00,0.00
2025-11-06,Phrase match,6,0.00,124,0.00,0.00
2025-11-06,Broad match,6,0.00,107,0.00,0.00
2025-11-06,AI Max,6,0.00,103,0.00,0.00
2025-10-17,Broad match,5,0.00,88,0.00,0.00
2025-10-18,Broad match,5,0.00,70,0.00,0.00
2025-10-18,AI Max,5,0.00,90,0.00,0.00
