search_term,clicks,conversions,cost,campaign_name,next_review_date
tree to my door,23,0,23.98,"T2MD | Search | Memorial Gift 150 20/5 140 7/4 Port 150  16/6 AI Max 28/7 144",2025-12-24
olive trees for sale,21,0,22.28,"T2MD | Shopping | Catch All 170 150 20/10 140 23/10",2025-12-24
rose bush,19,0,12.26,"T2MD | Search | Roses 152 29/8 140 14/1 155 16/6 Port 150 16/6 AI Max 1/7 160 3/7 150 23/10",2025-12-24
70th birthday gifts,18,0,11.19,"T2MD | Shopping | Catch All 170 150 20/10 140 23/10",2025-12-24
indoor olive tree,14,0,8.94,"T2MD | Shopping | Catch All 170 150 20/10 140 23/10",2025-12-24
40th birthday rose,13,0,6.81,"T2MD | Search | Roses 152 29/8 140 14/1 155 16/6 Port 150 16/6 AI Max 1/7 160 3/7 150 23/10",2025-12-24
memorial roses,13,0,8.40,"T2MD | Search | Memorial Gift 150 20/5 140 7/4 Port 150  16/6 AI Max 28/7 144",2025-12-24
tree2mydoor,13,0,15.57,"T2MD | Shopping | Catch All 170 150 20/10 140 23/10",2025-12-24
friendship rose,12,0,6.26,"T2MD | Search | Roses 152 29/8 140 14/1 155 16/6 Port 150 16/6 AI Max 1/7 160 3/7 150 23/10",2025-12-24
fab at 60 rose,12,0,7.04,"T2MD | Search | Roses 152 29/8 140 14/1 155 16/6 Port 150 16/6 AI Max 1/7 160 3/7 150 23/10",2025-12-24
remembrance roses,12,0,5.93,"T2MD | Search | Memorial Gift 150 20/5 140 7/4 Port 150  16/6 AI Max 28/7 144",2025-12-24
fab at 80 rose,11,0,5.05,"T2MD | Search | Roses 152 29/8 140 14/1 155 16/6 Port 150 16/6 AI Max 1/7 160 3/7 150 23/10",2025-12-24
trees to your door,11,0,8.03,"T2MD |  Brand Tree To My Door",2025-12-24
olive trees in pots,11,0,10.76,"T2MD | Shopping | Catch All 170 150 20/10 140 23/10",2025-12-24
name a rose gift,10,0,5.59,"T2MD | DSA 160 150 5/12 140 7/4",2025-12-24
50th birthday rose,10,0,6.51,"T2MD | Search | Roses 152 29/8 140 14/1 155 16/6 Port 150 16/6 AI Max 1/7 160 3/7 150 23/10",2025-12-24
olive tree,10,0,10.44,"T2MD | Shopping | Low Traffic 150 13/1 140 7/4 150 18/5 160 3/9 150 5/9 140 23/10",2025-12-24
60th wedding anniversary,10,0,4.84,"T2MD | Shopping | Catch All 170 150 20/10 140 23/10",2025-12-24
