Campaign,Asset Group,Asset Group ID,Asset Type,Text,Character Count,Action,Notes
T2MD | P Max | HP&P 150 5/9 140 23/10,Anniversary Ads,6443046142,Headline,Rose Bushes That Last Forever,29,ADD,Replaces: Gifts That Grow & Bloom
T2MD | P Max | HP&P 150 5/9 140 23/10,Anniversary Ads,6443046142,Headline,Roses That Return Each Year,27,ADD,Replaces: Scrap The Cut Flowers
T2MD | P Max | HP&P 150 5/9 140 23/10,Anniversary Ads,6443046142,Headline,Roses That Bloom Every Year,27,ADD,Replaces: Gifts That Actually Last
T2MD | P Max | HP&P 150 5/9 140 23/10,Anniversary Ads,6443046142,Long headline,Why gift roses that wilt? Send living rose bushes that bloom every anniversary.,80,ADD,Replaces typo version with !
T2MD | P Max | HP&P 150 5/9 140 23/10,Fab Birthday Roses,6449408517,Headline,Birthday Rose Bush Gifts,24,ADD,Replaces: The Ultimate Green Gift
T2MD | P Max | HP&P 150 5/9 140 23/10,Fab Birthday Roses,6449408517,Headline,50+ Birthday Rose Varieties,27,ADD,Replaces: Big Choice - Affordable Prices
T2MD | P Max | HP&P 150 5/9 140 23/10,Fab Birthday Roses,6449408517,Headline,Choose From 50+ Rose Bushes,27,ADD,Replaces: Great Selection To Choose From
T2MD | P Max | HP&P 150 5/9 140 23/10,Fab Birthday Roses,6449408517,Headline,Fabulous Birthday Rose Gifts,28,ADD,Replaces: Fab Rose Bushes
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Headline,Thoughtful Memorial Roses,25,ADD,Replaces: Big Choice - Affordable Prices
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Headline,Lasting Memorial Rose Gifts,27,ADD,Replaces: The Perfect Sustainable Gift
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Headline,Memorial Roses Delivered,24,ADD,Replaces: Shop Online At Tree2MyDoor
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Headline,50+ Sympathy Rose Varieties,27,ADD,Replaces: Great Selection To Choose From
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Headline,Dignified Rose Bush Tributes,28,ADD,Replaces: Fabulous Rose Bushes
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Headline,Ethical Memorial Rose Gifts,27,ADD,Replaces: An Ethical Gift That Will Las
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Headline,Dignified Memorial Rose Gifts,29,ADD,Replaces: Fabulous Rose Bush Gifts
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Long headline,Carefully chosen memorial roses delivered with care and presented beautifully.,78,ADD,Replaces 91-char version
T2MD | P Max | HP&P 150 5/9 140 23/10,In Memoriam Roses,6455482796,Long headline,Rose bush specialists with huge choice. Next day delivery available nationwide.,79,ADD,Replaces 90-char version
