Category,Product Name,Merchant Centre Item ID,Performance Notes
Chloe Marker Lights,"3W Chloe LED IP44 2800K/4000K/6000K CCT Colour Selectable Fluted Marker Light, Mini Downlight, Niche/Alcove/Soffit Light Black Low Glare",shopify_gb_9420615123265_48592208691521,"⭐ DANA'S PRIORITY - Former top 5 seller"
Chloe Marker Lights,"3W Chloe Fluted Marker Light, CCT Mini Downlight, Niche/Alcove/Soffit Antique Brass - CCT (Warm White 2800K / Cool White)",shopify_gb_14910392795513_55220540277113,""
Chloe Marker Lights,"3W Chloe Fluted Marker Light, CCT Mini Downlight, Niche/Alcove/Soffit Antique Brass - Single Colour Very Warm White",shopify_gb_14910392795513_55220540309881,""
Chloe Marker Lights,"3W Chloe Fluted Marker Light, CCT Mini Downlight, Niche/Alcove/Soffit Anthracite Grey - CCT (Warm White 2800K / Cool)",shopify_gb_15020743852409_55321567560057,""
Chloe Marker Lights,"3W Chloe Fluted Marker Light, CCT Mini Downlight, Niche/Alcove/Soffit Anthracite Grey - Single Colour Very Warm White",shopify_gb_15020743852409_55321567592825,""
Chloe Marker Lights,"3W Chloe Fluted Marker Light, CCT Mini Downlight, Niche/Alcove/Soffit Light Copper - Single Colour",shopify_gb_7118593491142_54815286428025,""
Chloe Marker Lights,"3W Mini Copper LED IP44 Marker Light, Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included) / 3000K Chloe",shopify_gb_7118593491142_41308073296070,""
Chloe Marker Lights,"3W Chloe Fluted Marker Light, Smoky Dark Bronze CCT Mini Downlight, Niche/Alcove/Soffit Light",shopify_gb_7118587560134_54815295111545,""
Chloe Marker Lights,"3W Mini Dark Bronze LED IP44 Marker Light, Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included)/3000K Chloe",shopify_gb_7118587560134_41308050292934,""
Chloe Marker Lights,"2200K Extra Warm White 3W Chloe Fluted Marker Light, Smoked Dark Bronze Mini Downlight, Niche/Alcove/Soffit Light",shopify_gb_9112284463425_47799839555905,""
Chloe Marker Lights,"3W 2800K CCT Chloe Fluted Marker Light, Mini Downlight, Niche/Alcove/Soffit Light Satin Brushed Brass",shopify_gb_8385983775041_45405924720961,""
Chloe Marker Lights,"3W Mini Satin Brass LED IP44 Marker Light Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included) /4000K Chloe",shopify_gb_7118574649542_41308032008390,""
Chloe Marker Lights,"3W Mini Black LED IP44 Marker Light, Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included) / 4000K Chloe",shopify_gb_7117651050694_41305391956166,"411% ROAS - Only Chloe in top 100"
Chloe Marker Lights,"3W Mini Black LED IP44 Marker Light, Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included) / 3000K Chloe",shopify_gb_7117651050694_41305391988934,""
Chloe Marker Lights,"2200K Extra Warm White 3W Chloe Fluted Marker Light, Mini Downlight, Niche/Alcove/Soffit Light Black / 2200K",shopify_gb_14884582588793_54907441709433,""
Chloe Marker Lights,"2200K Extra Warm White 3W Chloe Fluted Marker Light, Mini Downlight, Niche/Alcove/Soffit Light White / 2200K",shopify_gb_14884582588793_54972330180985,""
Chloe Marker Lights,"3W Mini Brush Nickel LED IP44 Marker Light Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included)/3000K Chloe",shopify_gb_7117646594246_41305385468102,""
Chloe Marker Lights,"3W Mini Matt Gold LED IP44 Marker Light, Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included) / 3000K Chloe",shopify_gb_7117659734214_41305406210246,""
Chloe Marker Lights,"3W Mini Matt Gold LED IP44 Marker Light, Small Downlight/Spotlight, Niche/Alcove/Soffit Light Low Glare (Driver included) / 4000K Chloe",shopify_gb_7117659734214_41305406243014,""
CCT Bulkhead,"Microwave Sensor LED Bulkhead Light, 12/18W, Microwave Sensor, IP65, Tri-Color CCT",shopify_gb_7269885247686_41832865562822,"Standard version"
CCT Bulkhead,"Microwave Sensor CCT 12W/18W Adjustable Wattage LED IP65 Bulkhead Black Bezel",shopify_gb_7269885247686_47359825707329,""
CCT Bulkhead,"2 Pack LED Bulkhead Lights with Microwave Sensor - IP65, CCT Adjustable, White",shopify_gb_7269885247686_54994398806393,""
CCT Bulkhead,"5 Pack Microwave Sensor 12W/18W Tri Color CCT Adjustable Wattage LED IP65 Bulkhead White Bezel",shopify_gb_7269885247686_54994426364281,"✅ 325% ROAS - GOOD PERFORMER"
CCT Bulkhead,"Emergency Function 12W/18W/24W Adjustable Wattage Tri Color CCT LED IP65 Bulkhead Emergency / 1pc / White Bezel",shopify_gb_7269885804742_41832867659974,"❌ 134% ROAS - Below target"
CCT Bulkhead,"Emergency Function 12W/18W/24W Adjustable Wattage Tri Color CCT LED IP65 Bulkhead Emergency / 5pcs / White Bezel",shopify_gb_7269885804742_54994463752569,""
