,,,,,,,,,
,,ACTION, TASK / ITEM,FREQUENCY,NOTE,IMPACT,DOC,SCRIPT,EXT
, 1 - FOUNDATION,,,,,,,,
,,,Clarity,,,,,,
,FALSE,💡," Complete the business rationale and messaging sheet (see the ""Clarity"" tab)",Once,,HIGH,📑,,
,,,Tags,,,,,,
,FALSE,Check:, GTM (Google Tag Manager) is installed on website,Once,💬,MID,,,
,FALSE,Check:, Conversion Linker installed in GTM,Once,💬,MID,,,🔗
,FALSE,Check:, Google Analytics tracking code added to GTM and the code is firing on all pages,Once,,HIGH,,,🔗
,FALSE,Check:, Analytics is firing on dead pages (404),Once,💬,HIGH,,,
,FALSE,Check:, Check your entire site for missing Google Analytics code with one click         ,Once,,HIGH,,,🔗
,,,Google Analytics 4,,,,,,
,FALSE,Check:,  Audit website for all pages and sections to be tracked,Once,💬,HIGH,📑,,
,FALSE,Check:, Provide property level access to stakeholders on GA4,Once,💬,HIGH,,,
,FALSE,Check:, Time zone is correct,Once,💬,MID,,,🔗
,FALSE,Check:, Your currency is correct,Once,,MID,,,🔗
,FALSE,Check:, Define Internal Traffic rules - Exclude Internal traffic,Once,💬,LOW,,,🔗
,FALSE,Check:, Integrate Google Search Console ,Once,,HIGH,,,
,FALSE,Check:, Link Google Ads to GA4 ,Once,💬,HIGH,,,🔗
,FALSE,Enable:, Enable Personalised Advertising,Once,💬,HIGH,,,
,FALSE,Enable:, Enable Auto-Tagging,Once,💬,HIGH,,,🔗
,FALSE,Check:, Setup Remarketing Audiences ,Once,,HIGH,,,🔗
,FALSE,Check:, Import conversions from GA4 property to your Google Ads account,Once,,HIGH,,,🔗
,FALSE,Check:, Create custom or Suggested Audiences ,Once,💬,MID,,,🔗
,FALSE,Check:, Migrate Audiences from Universal Analytics to GA4,Once,💬,HIGH,,,🔗
,FALSE,Check:, Create Audience Triggers,Once,💬,MID,,,🔗
,FALSE,Check:, Setup correct attribution model ,Once,💬,HIGH,,,🔗
,FALSE,Check:, Change Attribution Model Through Advertising Snapshot,Once,💬,MID,,,🔗
,FALSE,Enable:, Enhanced Measurements (Enabled by default; don't change it),Once,💬,HIGH,,,
,FALSE,Check:, Create custom definitons (with custom dimensions),Once,💬,MID,,,🔗
,FALSE,Check:, Bot Filtering (Know bots are Automatically Excluded in GA4),Once,💬,MID,,,🔗
,FALSE,Enable:," Site Search feature (Enabled by default, but it may require further configuration)",Once,💬,HIGH,,,🔗
,FALSE,Enable:,Custom search query parameters,Once,💬,MID,,,🔗
,FALSE,Enable:, Google Ads account linking,Once,,HIGH,,,🔗
,FALSE,Enable:, Analytics remarketing audiences,Once,,HIGH,,,🔗
,FALSE,Enable:, Google Signals - Analytics Demographics and Interests reports,Once,💬,HIGH,,,🔗
,FALSE,Enable:, Verify Data Retention time period to match your privacy policies,Once,💬,HIGH,,,🔗
,FALSE,Enable:, Set up Scroll Tracking,Once,💬,HIGH,,,🔗 
,FALSE,Check:, Spam referrals are excluded (unwanted lists),Once,💬,LOW,,,🔗
,FALSE,Check:, Self-referrals excluded,Once,💬,LOW,,,🔗
,FALSE,Check:, Payment gateway referrals excluded,Once,💬,HIGH,,,🔗
,FALSE,Optional:, Cross-domain tracking in place,Once,,MID,,,🔗
,FALSE,Check:, UTM tagging is implemented correctly,Once,,HIGH,,,🔗
,FALSE,Optional:, Upload data from external sources via Data Import,Ongoing,💬,HIGH,,,🔗
,FALSE,Check:, Enable Google signals data collection to get cross-device and demographic data,Once,,MID,,,🔗
,FALSE,Optional:, Configure session timeout setting (default is 30 mins),Once,💬,MID,,,🔗
,FALSE,Optional:, Setup ecommerce tracking (where appropriate),Once,💬,HIGH,📑,,🔗
,FALSE,Check:, Ecommerce data is correct and accurate (where appropriate),Once,,HIGH,,,🔗
,FALSE,Enable:, Create Predictive Metrics for ecommerce,Once,💬,MID,,,🔗
,FALSE,Check:, Importing Predictive Audiences into Google Ads,Once,💬,MID,,,
,FALSE,Optional:, Setup GA4 data transfer to BigQuery,Once,💬,MID,,,
,,,Conversion,,,,,,
,FALSE,💡, Are you using Micro conversions? Don't skip this,Once,💬,HIGH,📑,,
,FALSE,Review:, Review Micro conversion reference guide for ideas and examples,Once,💬,HIGH,📑,,
,FALSE,Check:, Google Ads conversion tag has at least 1 Macro conversion configured,Once,💬,HIGH,,,
,FALSE,Check:, Analytics has at least 1 Macro conversion configured,Once,💬,HIGH,,,
,FALSE,Apply:, Setup Micro conversions based on your analysis of visitor behaviour,Once,,HIGH,,,
,FALSE,Optional:, Setup video triggers within GTM for micro engagement conversions,Once,💬,MID,,,🔗
,FALSE,Optional:, Analytics Macro and Micro conversion goals imported to Ads,Once,💬,MID,,,
,FALSE,Check:, Each unique conversion is set to report in Conversion columns - no duplicates!,Once,💬,HIGH,,,
,FALSE,Check:, Conversion attribution is configured where appropriate (see Attribution below to find your ideal model),Once,💬,HIGH,📑,,
,FALSE,Check:, Have you tried to 'convert' yourself? Go through the steps/enquiry form/checkout,Once,💬,HIGH,,,
,,,Destination,,,,,,
,FALSE,Check:, Website is using an SSL so pages load as https and http pages redirect to their secure equivalent,Once,💬,HIGH,,,🔗
,FALSE,Check:, Sitespeed is good to great,Once,💬,HIGH,,,🔗
,FALSE,Apply:, Remove any scripts or tags you don't need or use,Once,💬,HIGH,,,
,FALSE,Check:, Search console is linked to Analytics,Once,,MID,,,🔗
,FALSE,Check:, Website sitemap submitted via search console and website is indexed,Once,,MID,,,🔗
,FALSE,Review:, Basic on-page SEO structure is done right,Once,,HIGH,,,🔗
,,,Shopping Specific,,,,,,
,FALSE,Check:, Google Merchant Centre account is setup,Once,,HIGH,,,🔗
,FALSE,Check:, Verified and claimed your domain in Google Merchant Centre,Once,,HIGH,,,🔗
,FALSE,Apply:, Product feed created and uploaded it to Google Merchant Centre,Once,,HIGH,,,🔗
,FALSE,Review:, Merchant Centre diagnostics tab and fix any critical errors,Once,,HIGH,,,🔗
,FALSE,Check:, Ecommerce tracking in enabled in Analytics,Once,,HIGH,,,🔗
,FALSE,Check:, Google Merchant Centre is linked to Google Ads,Once,,HIGH,,,🔗
,,,Performance Max,,,,,,
,FALSE,Apply:, For Accurate conversions use GTag not GA imports,Once,💬,HIGH,,,
,FALSE,Check:, Enhanced conversions are setup and accurate,Ongoing,,HIGH,,,🔗
,FALSE,Check:, Monitor macro vs micro conversions against other campaign types,Ongoing,💬,HIGH,,,🔗
,FALSE,Apply:, Lead gen quality measurement with first part data,Ongoing,💬,HIGH,,,🔗
,FALSE,Optional:, Set values for your qualified conversions,Ongoing,,MID,,,
,FALSE,Apply:, Update your conversion goals to Not Account Default,Ongoing,💬,HIGH,,,🔗
